E	ee0 
EDUCATOR	eet3 duu0 keet3 tqq2
EDUCATORS	eet3 duu0 keet3 tqq2
EDUCE	ee0 diw3
EDUCED	ee0 diw3
EDUCEMENT	ee0 diw3 men3
EDUCES	ee0 diw3 ses1
EDUCIBLE	ee0 diw3 si1 bql2
EDUCING	ee0 diw3 sing2
EDUCIVE	ee0 diw3 siif1
EDUCT	ee0 dak1
EDUCTION	ee0 dak3 chan0
EDUCTIONAL	ee0 dak3 chan0 nal0
EDUCTIONS	ee0 dak3 chan0
EDUCTIVE	ee0 dak3 thiif1
EDUCTOR	ee0 dak3 tqq2
EDUCTORS	ee0 dak3 tqq2
EDUCTS	ee0 dak1
EDWALL	eet1 khwql2
EDWARD	eet1 w@@t1
EDWARDES	eet1 w@@t1
EDWARDIAN	eet1 w@@t1 diian2
EDWARDIAN	eet1 w@@t1 diian2
EDWARDIANS	eet1 w@@t1 diian2
EDWARDS	eet1 w@@t1
EDWARDSES	eet1 w@@t1 ses1
EDWARDSON	eet1 w@@t1 san2
EDWIN	eet1 win2
EDWINE	eet1 waaj0
EDWINS	eet1 win2
EEL	iil1
EELGRASS	iil1 kraas3
EELGRASSES	iil1 kraas3 ses1
EELIEST	iil1 li1 es1
EELING	iil1 ling2
EELLIKE	iil1 laj3
EELPOUT	iil1 paaw3
EELPOUTS	iil1 paaw3
EELS	iil1
EELWORM	iil1 wqqm0
EERIE	iia0 rii2
EERIER	iia0 riia0
EERIER	iia0 riia0
EERIEST	iia0 ri1 es1
EERILY	iia0 rql2 lii2
EERINESS	iia0 ri3 nees1
EERING	iia0 ring2
EERY	iia0 rii2
EFF	ef3 
EFFABLE	ef3 fee0 bql2
EFFACE	ef3 fees3
EFFACEABLE	ef3 fees3 bql2
EFFACED	ef3 fees3
EFFACEMENT	ef3 fees3 men3
EFFACER	ef3 fees3 sqq2
EFFACERS	ef3 fees3 sqqs2
EFFACES	ef3 fees3 ses1
EFFACING	ef3 fees3 sing2
EFFACINGLY	ef3 fees3 sing2 lii2
EFFECT	ef3 fek1
EFFECTED	ef3 fek1 thet1
EFFECTER	ef3 fek1 tqq2
EFFECTERS	ef3 fek1 tqq2
EFFECTFUL	ef3 fek1 fuul0
EFFECTIBLE	ef3 fek1 thi1 bql2
EFFECTING	ef3 fek1 ting2
EFFECTION	ef3 fek1 chan0
EFFECTIONS	ef3 fek1 chan0
EFFECTIVE	ef3 fek1 thiif1
EFFECTIVELY	ef3 fek1 thiif1 lii2
EFFECTIVENESS	ef3 fek1 thiif1 nees1
EFFECTIVES	ef3 fek1 thiif1 wes1
EFFECTIVITY	ef3 fek1 thql0 bi1 li3 tii2
EFFECTLESS	ef3 fek1 thles1
EFFECTON	ef3 fek1 tan2
EFFECTOR	ef3 fek1 tqq2
EFFECTORS	ef3 fek1 tqq2
EFFECTS	ef3 fek1
EFFECTUAL	ef3 fek1 chuual0
EFFECTUALITY	ef3 fek1 chuual0 li3 tii2
EFFECTUALLY	ef3 fek1 chuual0 lii2
EFFECTUALNESS	ef3 fek1 chuual0 nees1
EFFECTUATE	ef3 fek1 juu0 eet1
EFFECTUATED	ef3 fek1 juu0 eet3 thet1
EFFECTUATES	ef3 fek1 juu0 eet1
EFFECTUATING	ef3 fek1 juu0 eet3 ting2
EFFECTUATION	ef3 fek1 juu0 ee0 chan0
EFFECTUM	ef3 fek1 tam2
EFFED	ef3 
EFFEMINACY	ef3 fee0 mi3 nqs3 sii2
EFFEMINATE	ef3 fee0 mi3 neet1
EFFEMINATE	ef3 fee0 mi3 neet1
EFFEMINATELY	ef3 fee0 mi3 nq1 lii2
EFFEMINATENESS	ef3 fee0 mi3 neet3 nees1
EFFEMINATION	ef3 fee0 mi3 nee0 chan0
EFFEMININITY	ef3 fee0 mql0 nin0 ni3 tii2
EFFEMINIZATION	ef3 fee0 mi3 naj3 see0 chan0
EFFEMINIZE	ef3 fee0 mi3 naj3
EFFEMINIZED	ef3 fee0 mi3 naj3
EFFENDI	ef3 feen0 dii2
EFFENDIS	ef3 feen0 dis1
EFFERENT	ef3 fql0 ren3
EFFERENTLY	ef3 fql0 ren3 lii2
EFFERENTS	ef3 fql0 ren3
EFFERSON	ef3 fqs2 san2
EFFERVESCE	ef3 fql0 wes3
EFFERVESCED	ef3 fql0 wes3
EFFERVESCENCE	ef3 fql0 wes3 sqn2
EFFERVESCENCY	ef3 fql0 wes3 sqn2 sii2
EFFERVESCENT	ef3 fql0 wes3 sen3
EFFERVESCENTLY	ef3 fql0 wes3 sqn2 thlii2
EFFERVESCES	ef3 fql0 wes3 ses1
EFFERVESCING	ef3 fql0 wes3 sing2
EFFERVESCINGLY	ef3 fql0 wes3 sing2 lii2
EFFETE	ef3 fiit1
EFFETENESS	ef3 fiit3 nees1
EFFEVERSCENCE	ef3 fql0 wes3 sqn2
EFFEVERSCENT	ef3 fql0 wes3 sen3
EFFICACIOUS	ef3 fi3 khee3 chqq2
EFFICACIOUSLY	ef3 fi3 keec3 chqs2 lii2
EFFICACIOUSNESS	ef3 fi3 keec3 chqs2 nees1
EFFICACITY	ef3 fi3 kx3 si3 tii2
EFFICACY	ef3 fi3 khq0 sii2
EFFICENT	ef3 fi3 sen3
EFFICENTLY	ef3 fi3 sqn2 thlii2
EFFICIENCE	ef3 fi3 chan0
EFFICIENCES	ef3 fi3 chan0 ses1
EFFICIENCIES	ef3 fi3 chan0 ses1
EFFICIENCY	ef3 fi3 chan0 sii2
EFFICIENCYING	ef3 fi3 chan0 sii2 ing2
EFFICIENT	ef3 fi3 chen3
EFFICIENTES	ef3 fi3 chen3
EFFICIENTLY	ef3 fi3 chen3 thlii2
EFFICIENTS	ef3 fi3 chen3
EFFIGIES	ef3 fi3 cis1
EFFIGY	ef3 fi3 cii2
EFFING	ef3 fing2
EFFINGER	ef3 fing0 ngqq2
EFFLORESCE	ef3 fl@@0 res3
EFFLORESCED	ef3 fl@@0 res3
EFFLORESCENCE	ef3 floo0 res3 sen3
EFFLORESCENCES	ef3 floo0 res3 cen2 ses1
EFFLORESCENCY	ef3 floo0 res3 cen2 sii2
EFFLORESCENT	ef3 floo0 res3 sen3
EFFLORESCES	ef3 fl@@0 res3 ses1
EFFLUENCE	ef3 fluu0 an2
EFFLUENCES	ef3 fluu0 an0 ses1
EFFLUENT	ef3 fluu0 an0
EFFLUENTS	ef3 fluu0 an0
EFFLUVIA	ef3 fluu0 wiia1
EFFLUVIAL	ef3 fluu0 wiial0
EFFLUVIAS	ef3 fluu0 wiias2
EFFLUVIOUS	ef3 fluu0 wiias2
EFFLUVIUM	ef3 fluu0 wiiam2
EFFLUVIUMS	ef3 fluu0 wiiam2
EFFLUX	ef3 flak1
EFFLUXES	ef3 flak3 ses1
EFFLUXION	ef3 flak3 chan0
EFFORT	ef3 f@@t1
EFFORTING	ef3 f@@t1 ting2
EFFORTLESS	ef3 f@@t1 lees1
EFFORTLESSLY	ef3 f@@t1 lees3 lii2
EFFORTLESSNESS	ef3 f@@t1 lees3 nees1
EFFORTS	ef3 f@@t1
EFFRACTION	ef3 frxxk3 chan0
EFFRAIN	ef3 freen0
EFFRANCHISE	ef3 frxxn0 chaaj3
EFFRANCHISEMENT	ef3 frxxn0 chaaj0 men3
EFFRON	ef3 fr@@n2
EFFRONTERIES	ef3 fr@@n0 ti1 ris1
EFFRONTERY	ef3 fr@@n0 tql0 rii2
EFFS	ef3 
EFFULGE	ef3 fal0
EFFULGED	ef3 fal0
EFFULGENCE	ef3 fal0 cqn2
EFFULGENCES	ef3 fal0 cqn1 ses1
EFFULGENT	ef3 fal0 cen3
EFFULGENTLY	ef3 fal0 cqn0 thlii2
EFFULGES	ef3 fal0 cis1
EFFULGING	ef3 fal0 cing2
EFFUSE	ef3 fiw3
EFFUSED	ef3 fiw3
EFFUSED	ef3 fiw3
EFFUSES	ef3 fiw3 ses1
EFFUSING	ef3 fiw3 sing2
EFFUSION	ef3 fiw3 chan0
EFFUSIONS	ef3 fiw3 chan0
EFFUSIVE	ef3 fiw3 siif1
EFFUSIVELY	ef3 fiw3 siif1 lii2
EFFUSIVENESS	ef3 fiw3 siif1 nees1
EFT	ef3 
EFTA	ef3 tqq2
EFTEST	ef3 this3
EFTS	ef3 
EFTSOON	ef3 suun0
EFTSOONS	ef3 suun0
EGAD	ee0 kxxt1
EGADS	ee0 kxxt1
EGALITARIA	ee0 kheel0 li3 thxx0 riia0
EGALITARIAN	ee0 kheel0 li3 thxx0 riian2
EGALITARIANISM	ee0 kheel0 li3 thxx0 riian0 nis3 svm2
EGALITARIANS	ee0 kheel0 li3 thxx0 riian2
EGALITY	ee0 kh@l0 li3 tii2
EGERIA	ee0 ciia0 riia0
EGERIAN	ee0 ciia0 riian2
EGG	eek2
EGGBEATER	eek2 biit3 tqq2
EGGBEATERS	eek2 biit3 tqq2
EGGCUP	eek2 khap2
EGGCUPS	eek2 khap2
EGGED	eek2
EGGENSTEIN	eek2 keen3 thaaj0
EGGER	eek2 kqq2
EGGERING	eek2 khql0 ring2
EGGERS	eek2 kqq2
EGGHEAD	eek2 heet3
EGGHEADED	eek2 heet3 det1
EGGHEADEDNESS	eek2 heet3 dit1 nees1
EGGHEADS	eek2 heet3
EGGING	eek2 king2
EGGINGS	eek2 king2
EGGINGTON	eek2 king0 tan2
EGGINGTONS	eek2 king0 tan2
EGGPLANT	eek2 plxxn3
EGGPLANTS	eek2 plxxn3
EGGS	eek2
EGGSHAKE	eek2 cheek3
EGGSHAKES	eek2 cheek3
EGGSHELL	eek2 cheel0
EGGSHELLS	eek2 cheel0
EGLANTINA	ee0 len3 tii0 nqq2
EGLANTINE	ee0 lqn1 taaj0
EGLANTINES	ee0 lqn1 taaj0
EGLANTYNE	ee0 lqn1 taaj0
EGLER	ee0 lqq2
EGLEY	ee0 lee2
EGLIN	ee0 lin2
EGLINTON	ee0 lin2 tan2
EGLINTONS	ee0 lin2 tan2
EGO	ee0 khoo2
EGOCENTRIC	ee0 kh@@3 sen0 thrik1
EGOCENTRICALLY	ee0 kh@@3 sen0 thri3 khql2 lii2
EGOCENTRICISM	ee0 kh@@3 sen0 thrik3 sis3 svm2
EGOCENTRICITIES	ee0 kh@@3 sen0 thris3 si3 tii2
EGOCENTRICITY	ee0 khoo2 sen0 thris3 si3 tii2
EGOCENTRICS	ee0 khoo2 sen0 thrik1
EGOCENTRIST	ee0 khoo2 sen0 thris3
EGOISM	ee0 khoo2 is3 svm2
EGOISMS	ee0 khoo2 is3 svm2
EGOIST	ee0 khooj3
EGOISTIC	ee0 khoo0 is3 tik1
EGOISTICAL	ee0 khoo0 is3 tik3 khql2
EGOISTICALLY	ee0 khoo0 is3 ti1 khql2 lii2
EGOISTS	ee0 khooj3
EGOMANIA	ee0 kh@@m0 men0 niia0
EGOMANIAC	ee0 kh@@m0 men0 ni3 xk1
EGOMANIACAL	ee0 kh@@m0 mql0 naaj0 ql0 khql2
EGOMANIACALLY	ee0 kh@@m0 mql0 naaj0 ql0 khql2 lii2
EGOMANIACS	ee0 kh@@m0 men0 ni3 xk1
EGOMANIAS	ee0 kh@@m0 men0 niias3
EGONOMIC	ee0 koo0 n@@0 mik1
EGOS	ee0 kh@@s2
EGOTISM	ee0 khoot1 this3 svm2
EGOTISMS	ee0 khoot1 this3 svm2
EGOTIST	ee0 kql0 this2
EGOTISTIC	ee0 kql0 this3 tik1
EGOTISTICAL	ee0 khoo1 this3 tik3 khql2
EGOTISTICALLY	ee0 kql0 this3 ti1 khql2 lii2
EGOTISTICKY	ee0 kql0 this3 ti1 kii2
EGOTISTS	ee0 kql0 this2
EGOTIZE	ee0 khoot1 thaj3
EGOTRIP	ee0 khoot1 rip3
EGOTRIPPED	ee0 khoot1 rip3
EGOTRIPPING	ee0 khoot1 rip3 ping2
EGOTRIPS	ee0 khoot1 rip3
EGREGIOUS	i1 krii0 ciias2
EGREGIOUSNESS	i1 krii0 ciias2 nees1
EGREMONT	ee0 kri3 m@@n3
EGRESS	ee0 kres3
EGRESSED	ee0 kres3
EGRESSES	ee0 kres3 ses1
EGRESSING	ee0 kres3 sing2
EGRESSION	ee0 kres3 chan0
EGRESSIVE	ee0 kres3 siif1
EGRESSOR	ee0 kres3 sqq2
EGRET	ee0 kret1
EGRETS	ee0 kret1
EGRETTA	ee0 kret3 tqq2
EGYPT	ee0 cip1
EGYPTAIR	ee0 cip1 thxx0
EGYPTIAN	ee0 cip1 chiian2
EGYPTIANS	ee0 cip1 chiian2
EGYPTION	ee0 cip1 chan0
EGYPTO	ee0 cip1 too2
EGYPTOLOGER	ee0 cip1 thoo0 loo0 cqq2
EGYPTOLOGIST	ee0 cip1 thoo0 loo0 cis3
EGYPTOLOGISTS	ee0 cip1 thoo0 loo0 cis3
EGYPTOLOGY	ee0 cip1 thoo0 loo0 cii2
EGYPTS	ee0 cip1
EH	ee0
EICHE	aaj3 kqq2
EICHEN	aaj3 khqn2
EICHENBERG	aaj3 kqn2 bqqk1
EICHENBERGER	aaj3 kqn2 bqqk1 kqq2
EICHENBURG	aaj3 kqn2 bqqk1
EICHER	aaj3 khql0 rqq2
EICHERS	aaj3 kql0 rqq2
EICHERS	aaj3 khql0 rqq2
EIDER	aaj0 dqq2
EIDERDOWN	aaj0 dql0 daaw0
EIDERDOWNED	aaj0 dql0 daaw0
EIDERDOWNS	aaj0 dql0 daaw0
EIDERS	aaj0 dqq2
EIDOGRAPH	aaj0 d@@0 kraaf3 
EIDOLA	aaj0 d@@0 lqq2
EIDOLON	aaj0 d@@0 loon0
EIDOLONS	aaj0 d@@0 loon0
EIGH	ee0
EIGHT	eet3
EIGHTBALL	eet3 boo0
EIGHTBALLS	eet3 boo0
EIGHTEEN	eet3 thiin0
EIGHTEENMO	eet3 thiin0 moo2
EIGHTEENS	eet3 thiin0
EIGHTEENTH	eet3 thiin0
EIGHTEENTHS	eet3 thiin0
EIGHTFOLD	eet3 fool0
EIGHTH	eet3
EIGHTHED	eet3
EIGHTHES	eet3
EIGHTHS	eet3
EIGHTIES	eet3 tii2
EIGHTIETH	eet3 thii2
EIGHTIETHS	eet3 thii2
EIGHTISH	eet3 thich3
EIGHTPENCE	eet3 pqn2
EIGHTPENCES	eet3 pqn0 ses1
EIGHTPENNY	eet3 pqn0 nii2
EIGHTS	eet3
EIGHTSOME	eet3 svm2
EIGHTSOMES	eet3 svm2
EIGHTY	eet3 tii2
EILEEN	aaj0 sql0 liin0
EILEENS	aaj3 sql0 liin0
EINDHOVEN	aaj0 h@1 wqn2
EIREANN	xx0 rqn2
EIRENA	aaj0 rii0 nqq2
EIRENE	aaj0 riin0
EIRENIC	aaj0 rii0 nik1
EIRENICAL	aaj0 rii0 ni3 khql2
EIRENICON	aaj0 rii0 ni3 khoon2
EISTEDDFOD	aaj3 tet2 w@@t1
EISTEDDFODS	aaj3 tet2 w@@t1
EITHER	aaj0 dqq2
EJACULA	i1 cxk3 hiw0 lqq2
EJACULATE	i1 cxk3 hiw0 leet1
EJACULATED	i1 cxk3 hiw0 lee0 thet1
EJACULATES	i1 cxk3 hiw0 leet1
EJACULATING	i1 cxk3 hiw0 leet3 ting2
EJACULATION	i1 cxk3 hiw0 lee0 chan0
EJACULATIONS	i1 cxk3 hiw0 lee0 chan0
EJACULATIVE	i1 cxk3 hiw0 lqt3 thiif1
EJACULATOR	i1 cxk3 hiw0 lee0 tqq2
EJACULATORS	i1 cxk3 hiw0 lee0 tqq2
EJACULATORY	i1 cxk3 hiw0 lqt3 thql0 rii2
EJACULUM	i1 cxk3 hiw0 l@m2
EJECT	ee0 cek1
EJECTABLE	i1 cek3 thi1 bql2
EJECTED	i1 cek3 thet1
EJECTEE	i1 cek3 tii2
EJECTEES	i1 cek3 tii2
EJECTING	i1 cek3 ting2
EJECTION	i1 cek3 chan0
EJECTIONS	i1 cek3 chan0
EJECTIVE	i1 cek3 thiif1
EJECTIVELY	i1 cek3 thiif1 lii2
EJECTIVES	i1 cek3 thiif1
EJECTIVITY	i1 cek3 thi1 wi3 tii2
EJECTMENT	ee0 cek3 men3
EJECTMENTS	ee0 cek3 men3
EJECTOR	i1 cek3 tqq2
EJECTORS	i1 cek3 tqq2
EJECTS	i1 cek3
EJECTUM	i1 cek3 tam2
EKE	iik3
EKED	iik3
EKES	iik3
EKING	iik3 king2
EKINS	iik3 kin2
EL	eel0
ELABORATE	i1 lxp3 bqq0 reet1
ELABORATE	i1 lxp3 bqq0 reet1
ELABORATED	i1 lxp3 bqq0 reet3 thet1
ELABORATELY	i1 lxp3 bqq0 rqt1 lii2
ELABORATENESS	i1 lxp3 bqq0 rqt1 nees1
ELABORATES	i1 lxp3 bqq0 reet1
ELABORATING	i1 lxp3 bqq0 reet1 ting2
ELABORATION	i1 lxp3 bqq0 ree0 chan0
ELABORATIONS	i1 lxp3 bqq0 ree0 chan0
ELABORATIVE	i1 lxp3 bqq0 rqt1 thiif1
ELABORATOR	i1 lxp3 bqq0 ree0 tqq2
ELABORATORING	i1 lxp3 bqq0 reet1 thql0 ring2
ELABORATORS	i1 lxp3 bqq0 ree0 tqq2
ELAINE	ee0 leen0
ELAINES	ee0 leen0
ELAND	ee0 lqt3
ELANDER	ee0 lqn1 dqq2
ELANDS	ee0 len3
ELANS	ee0 lqn2
ELAPSE	i1 lxp3
ELAPSED	i1 lxp3
ELAPSES	i1 lxp3 ses1
ELAPSING	i1 lxp3 sing2
ELASSON	i1 lxs3 san2
ELASTIC	i1 lxs3 tik1
ELASTICA	i1 lxs3 tik3 khqq2
ELASTICAL	i1 lxs3 tik3 khql2
ELASTICALLY	i1 lxs3 ti1 khql2 lii2
ELASTICATED	i1 lxs3 tik3 khee0 thet1
ELASTICIAN	i1 lxs3 ti1 kiian2
ELASTICISE	i1 lxs3 tis3 saj3
ELASTICISED	i1 lxs3 tis3 ses1
ELASTICISER	i1 lxs3 tis3 saj3 sqq2
ELASTICISERS	i1 lxs3 tis3 saj3 sqqs2
ELASTICISES	i1 lxs3 tis3 saaj0 ses1
ELASTICISING	i1 lxs3 tis3 si3 sing2
ELASTICITIES	eel0 lxs3 tis3 si3 tii2
ELASTICITY	eel0 lxs3 tis3 si3 tii2
ELASTICIZE	i1 lxs3 tis3 saj3
ELASTICIZED	i1 lxs3 tis3 saj3
ELASTICIZER	i1 lxs3 tis3 saj3 sqq2
ELASTICIZERS	i1 lxs3 tis3 saj3 sqqs2
ELASTICIZES	i1 lxs3 tis3 saaj0 ses1
ELASTICIZING	i1 lxs3 tis3 saj3 sing2
ELASTICS	i1 lxs3 tik1
ELASTICUM	i1 lxs3 tik3 kh@m2
ELASTIN	i1 lxs3 tin0
ELASTINS	i1 lxs3 tin0
ELASTIVITY	i1 lxs3 ti1 wi3 tii2
ELASTOMER	i1 lxs3 tql0 mqq2
ELASTOMERS	i1 lxs3 tql0 mqq2
ELASTOPLAST	i1 lxs3 tql0 plaa0
ELASTOPLASTED	i1 lxs3 tql0 plaa0 sa1 thet1
ELATE	i1 leet1
ELATED	i1 lee0 thet1
ELATEDLY	i1 lee0 thet1 lii2
ELATEDNESS	i1 lee0 thet1 nees1
ELATER	i1 lee0 tqq2
ELATERITE	i1 lee0 thraj3
ELATERS	i1 lee0 thqq2
ELATERS	i1 lee0 tqq2
ELATES	i1 leet1
ELATING	i1 leet3 ting2
ELATION	i1 lee0 chan0
ELATIONS	i1 lee0 chan0
ELBERGER	eel0 bqqk1 kqq2
ELBERT	eel0 bqqt1
ELBERTA	eel0 bqq0 tqq2
ELBOURNE	eel0 bqn2
ELBOW	eel0 boo2
ELBOWED	eel0 b@@t3
ELBOWING	eel0 b@@0 ing2
ELBOWROOM	eel0 b@@0 ruum0
ELBOWS	eel0 b@@s2
ELDEN	eel0 dqn2
ELDENBURG	eel0 dqn1 bqqk1
ELDENS	eel0 dqn2
ELDER	eel0 dqq2
ELDERBERG	eel0 dqq0 bqqk1
ELDERBERRIES	eel0 dqq0 bee0 ris1
ELDERBERRY	eel0 dqq0 bee0 rii2
ELDERBUSH	eel0 dqq0 buch3
ELDERFIELD	eel0 dqq0 fiil0
ELDERING	eel0 dqq0 ring2
ELDERKIN	eel0 dql0 kin2
ELDERLIES	eel0 dql0 laj3
ELDERLINESS	eel0 dql0 li3 nees1
ELDERLY	eel0 dqq0 lii2
ELDERMAN	eel0 dql0 mqn2
ELDERMEN	eel0 dql0 mqn2
ELDERS	eel0 dqq2
ELDERSLIE	eel0 dql0 sa1 lii2
ELDERTON	eel0 dqq0 tan2
ELDERWOOD	eel0 dqq0 wuut3
ELDEST	eel0 dis1
ELDIN	eel0 din2
ELDING	eel0 ding2
ELDON	eel0 d@@n2
ELDONS	eel0 d@@n2
ELDRED	eel0 dreet1
ELDREDGE	eel0 drec1
ELDRESSES	eel0 dres3 ses1
ELDRIC	eel0 drik1
ELDRICH	eel0 drich3
ELDRICK	eel0 drik1
ELDRIDGE	eel0 dric1
ELDRIDGES	eel0 dri3 cis1
ELDRIN	eel0 drin2
ELDRING	eel0 dring2
ELEANOR	eel0 lqn1 nqq2
ELEANORS	eel0 lqn1 nees1
ELECAMPANE	i1 lik3 kxx0 pheen0
ELECT	i1 lek1
ELECTA	i1 lek3 tqq2
ELECTABILITY	i1 lek3 tql0 bi1 li3 tii2
ELECTABLE	i1 lek3 thi1 bql2
ELECTANT	i1 lek3 ten3
ELECTED	i1 lek3 thet1
ELECTEE	i1 lek3 tii2
ELECTEES	i1 lek3 tii2
ELECTES	i1 lek1
ELECTIBILITY	i1 lek3 thql0 bi1 li3 tii2
ELECTIC	i1 lek3 tik1
ELECTICAL	i1 lek3 tik3 khql2
ELECTICISM	i1 lek3 tis3 sis3 svm2
ELECTIFIED	i1 lek3 thi1 faaj3
ELECTIFYING	i1 lek3 thi1 faaj0 ing2
ELECTING	i1 lek3 ting2
ELECTION	i1 lek3 chan0
ELECTIONAL	i1 lek3 chan0 nal0
ELECTIONARY	i1 lek3 chan0 nql0 ri1
ELECTIONED	i1 lek3 chan0
ELECTIONEER	i1 lek3 chan0 niia0
ELECTIONEERED	i1 lek3 chan0 niiat2
ELECTIONEERER	i1 lek3 chan0 niia0 rqq2
ELECTIONEERING	i1 lek3 chan0 niia0 ring2
ELECTIONEERS	i1 lek3 chqq0 niias3
ELECTIONS	i1 lek3 chan0
ELECTIVE	i1 lek3 thiif1
ELECTIVELY	i1 lek3 thiif1 lii2
ELECTIVENESS	i1 lek3 thiif1 nees1
ELECTIVES	i1 lek3 thiif1
ELECTIVISM	i1 lek3 thi1 wis3 svm2
ELECTIVITY	i1 lek3 thi1 wi3 tii2
ELECTO	i1 lek3 too2
ELECTON	i1 lek3 tan2
ELECTONIC	i1 lek3 th@@0 nik1
ELECTONICALLY	i1 lek3 th@@0 ni3 khql2 lii2
ELECTONICS	i1 lek3 th@@0 nik1
ELECTONS	i1 lek3 tan2
ELECTOR	i1 lek3 tqq2
ELECTORAGE	i1 lek3 tql0 ric1
ELECTORAL	i1 lek3 tql0 rql2
ELECTORALISM	i1 lek3 tql0 rql0 lis3 svm2
ELECTORALLY	i1 lek3 tql0 rql2 lii2
ELECTORATE	i1 lek3 tql0 reet1
ELECTORATES	i1 lek3 tql0 reet1
ELECTORIAL	i1 lek3 th@@0 riial0
ELECTORS	i1 lek3 tqq2
ELECTORSHIP	i1 lek3 tql0 chip3
ELECTORY	i1 lek3 tql0 rii2
ELECTOS	i1 lek3 toos2
ELECTRA	i1 lek3 thrqq2
ELECTRABEL	i1 lek3 trql0 beel0
ELECTRABELL	i1 lek3 trql0 beel0
ELECTRALIZE	i1 lek3 trql0 laj3
ELECTRAS	i1 lek3 thras3
ELECTRESS	i1 lek3 thris1
ELECTRETS	i1 lek3 thret1
ELECTRIC	i1 lek3 thrik1
ELECTRICA	i1 lek3 thrii0 kqq2
ELECTRICAL	i1 lek3 thri3 khql2
ELECTRICALISES	i1 lek3 thrik3 khql0 lis3 ses1
ELECTRICALIZE	i1 lek3 thrik3 khql0 laj3
ELECTRICALIZES	i1 lek3 thrik3 khql0 laaj0 ses1
ELECTRICALLY	i1 lek3 thri3 khql2 lii2
ELECTRICALNESS	i1 lek3 thri3 khql0 nees1
ELECTRICALS	i1 lek3 thri3 kql2
ELECTRICAN	i1 lek3 thrii0 khqn2
ELECTRICANS	i1 lek3 thrii0 khqn2
ELECTRICAR	i1 lek3 thrii0 khql0 raa1
ELECTRICAS	i1 lek3 thri1 kqq2
ELECTRICIA	i1 lek3 thri1 chqq2
ELECTRICIAN	i1 lek3 thri1 chan0
ELECTRICIANS	i1 lek3 thri1 chan0
ELECTRICISE	i1 lek3 thris3 saj3
ELECTRICISES	i1 lek3 thris3 saaj0 ses1
ELECTRICIT	i1 lek3 thris3 sit1
ELECTRICITIES	i1 lek3 thris3 si3 tii2
ELECTRICITY	i1 lek3 thris3 si3 tii2
ELECTRICIZE	i1 lek3 thris3 saj3
ELECTRICIZES	i1 lek3 thris3 saaj0 ses1
ELECTRICKED	i1 lek3 thrik1
ELECTRICS	i1 lek3 thrik1
ELECTRICT	i1 lek3 thrik1
ELECTRIFEROUS	i1 lek3 thri3 fql0 rqqs2
ELECTRIFIABLE	i1 lek3 thri3 faaj0 ql0 bql2
ELECTRIFICATION	i1 lek3 thri3 fi1 khee0 chan0
ELECTRIFICATIONS	i1 lek3 thri3 fi1 khee0 chan0
ELECTRIFIED	i1 lek3 thri3 faaj3
ELECTRIFIER	i1 lek3 thri3 faaj0 qq2
ELECTRIFIERS	i1 lek3 thri3 faaj0 qq2
ELECTRIFIES	i1 lek3 thri3 faaj3
ELECTRIFY	i1 lek3 thri3 faaj0
ELECTRIFYING	i1 lek3 thri3 faaj0 ing2
ELECTRIFYINGLY	i1 lek3 thri3 faaj0 ing2 lii2
ELECTRIONIC	i1 lek3 thr@@3 nik1
ELECTRIP	i1 lek3 thrip3
ELECTRO	i1 lek3 throo2
ELECTROBIOLOGIST	i1 lek3 tr@@0 baj0 oo0 loo0 cis3
ELECTROBIOLOGY	i1 lek3 tr@@0 baj0 oo0 loo0 cii2
ELECTROCARDIOGRAM	i1 lek3 tr@@0 kaa0 di1 @@0 krxxm2
ELECTROCARDIOGRAMME	i1 lek3 tr@@0 kaa0 di1 @@0 krxxm2
ELECTROCARDIOGRAMMES	i1 lek3 tr@@0 kaa0 di1 @@0 krxxm0
ELECTROCARDIOGRAMS	i1 lek3 tr@@0 kaa0 di1 @@0 krxxm0
ELECTROCARDIOGRAPH	i1 lek3 tr@@0 kaa0 di1 @@0 krxf3 
ELECTROCARDIOGRAPHIC	i1 lek3 tr@@0 kaa0 di1 @@0 kraaf3 fik1
ELECTROCARDIOGRAPHICALLY	i1 lek3 tr@@0 kaa0 di1 @@0 kraaf3 fi3 khql2 lii2
ELECTROCARDIOGRAPHS	i1 lek3 tr@@0 kaa0 di1 @@0 kraaf3 
ELECTROCHEMICAL	i1 lek3 tr@@0 keem0 mi3 khal0
ELECTROCHEMICALLY	i1 lek3 tr@@0 keem0 mi3 khql2 lii2
ELECTROCHEMICALS	i1 lek3 tr@@0 keem0 mi3 khql2
ELECTROCHEMIST	i1 lek3 tr@@0 keem0 mis3
ELECTROCHEMISTRY	i1 lek3 tr@@0 keem0 mis3 trii2
ELECTROCHEMISTS	i1 lek3 tr@@0 keem0 mis3
ELECTROCOPYING	i1 lek3 tr@@0 kh@p3 piing2
ELECTROCUTE	i1 lek3 trql0 khiw3
ELECTROCUTED	i1 lek3 trql0 khiw0 thet1
ELECTROCUTES	i1 lek3 trql0 khiw3
ELECTROCUTING	i1 lek3 trql0 khiw0 ting2
ELECTROCUTION	i1 lek3 trql0 khiw0 chan0
ELECTROCUTIONAL	i1 lek3 trql0 khiw3 chan0 nal0
ELECTROCUTIONER	i1 lek3 trql0 khiw0 chan0 rqq2
ELECTROCUTIONS	i1 lek3 trql0 khiw0 chan0
