UBIQUARIAN	juu0 bi1 khw@@0 riian2
UNANALYSABLE	an0 nxx0 naa0 laj3 sa1 bql2
UNANALYSED	an0 nxx0 nq1 laj3
UNANALYTIC	an0 nxx0 nq1 li3 thik1
UNANALYTICAL	an0 nxx0 nq1 li3 thi1 kh@l2
UNANALYTICALLY	an0 nxx0 nq1 li3 thi1 kh@l2 lii2
UNANALYZED	an0 nxx0 nq1 laj3
UNANALYZING	an0 nxx0 nq1 laj3 sing2
UNANIMALISED	juu0 nxxn0 ni3 m@l2 laj3
UNANIMALIZED	juu0 nxxn0 ni3 m@l2 laj3
UNANIMATE	juu0 nxxn0 ni3 meet1
UNANIMATED	juu0 nxxn0 ni3 meet3 thet1
UNANIMATEDLY	juu0 nxxn0 ni3 meet3 thet1 lii2
UNANIMATEDNESS	juu0 nxxn0 ni3 meet3 thet1 nees1
UNANIMATELY	juu0 nxxn0 ni3 meet1 lii2
UNANIMIST	juu0 nxxn0 ni3 mis3
UNANIMISTIC	juu0 nxxn0 ni3 mis3 tik1
UNANIMISTICALLY	juu0 nxxn0 ni3 mis3 ti1 khq1 lii2
UNANIMITIES	juu0 nxxn0 ni3 mi3 tii2
UNANIMITY	juu0 nxxn0 ni3 mi3 tii2
UNANIMOUS	juu0 nxxn0 ni3 mqs2
UNANIMOUSLY	juu0 nxxn0 ni3 mqs3 lii2
UNANIMOUSNESS	juu0 nxxn0 ni3 mqs3 nees1
UNANNOUNCEABLE	an0 nxxn1 naaw3 sa1 bql2
UNANNOUNCED	an0 nxxn1 naaw3
UNANSWERABILITY	an0 naan3 sqq2 rq1 bi1 li3 tii2
UNANSWERABLE	an0 naan3 sqq2 ree0 bql2
UNANSWERABLENESS	an0 naan3 sqq2 ree0 bql2 nees1
UNANSWERABLY	an0 naan3 sqq2 ree0 blii2
UNANSWERD	an0 naan3 sqq2
UNANSWERED	an0 naan3 sqq2
UNANSWERING	an0 naan3 sqq0 ring2
UNANSWERS	an0 naan3 sqq2
UNANTAGONISABLE	an0 nxxn0 thx3 kq1 naj3 sa1 bql2
UNANTAGONISABLES	an0 nxxn0 thx3 kq1 naj3 sa1 bql2
UNANTAGONISED	an0 nxxn0 thx3 kq1 naj3
UNANTAGONISING	an0 nxxn0 thx3 kq1 naj3 sing2
UNANTAGONISINGS	an0 nxxn0 thx3 kq1 naj3 sing2
UNANTAGONISTIC	an0 nxxn0 thx3 kq1 nis3 tik1
UNANTAGONIZABLE	an0 nxxn0 thx3 kq1 naj3 sa1 bql2
UNANTAGONIZABLES	an0 nxxn0 thx3 kq1 naj3 sa1 bql2
UNANTAGONIZED	an0 nxxn0 thx3 kq1 naj3
UNANTAGONIZING	an0 nxxn0 thx3 kq1 naj3 sing2
UNANTAGONIZINGS	an0 nxxn0 thx3 kq1 naj3 sing2
UNANTICIPATED	an0 nxxn0 thi3 si1 pheet3 thet1
UNANTICIPATEDLY	an0 nxxn0 thi3 si1 pheet3 thet1 lii2
UNANTICIPATING	an0 nxxn0 thi3 si1 pheet3 ting2
UNANTICIPATINGLY	an0 nxxn0 thi3 si1 pheet3 ting2 lii2
UNANTICIPATION	an0 nxxn0 thi3 si1 phee0 chan2
UNANTICIPATIVE	an0 nxxn0 thi3 si1 pheet3 thiif1
UNANTIQUATED	an0 nxxn0 thi3 si1 pheet3 thet1
UNANTIQUATEDNESS	an0 nxxn0 thi1 khweet3 thet1 nees1
UNANTIQUE	an0 nxxn0 thiik3
UNANTIQUITY	an0 nxxn0 thi3 khwi1 tii2
UNAPPEALABLE	an0 nxp3 phiil0 lee0 bql2
UNAPPEALABLENESS	an0 nxp3 phiil0 lee0 bql2 nees1
UNAPPEALED	an0 nxp3 phiil0
UNAPPEALING	an0 nxp3 phiil0 ling2
UNAPPEALINGLY	an0 nxp3 phiil0 ling2 lii2
UNAPPEASABLE	an0 nxp3 phiis3 sa1 bql2
UNAPPEASABLENESS	an0 nxp3 phliis2 sa1 bql2 nees1
UNAPPEASABLY	an0 nxp3 phiis3 sa1 blii2
UNAPPEASED	an0 nxp3 phiis3
UNAPPEASING	an0 nxp3 phiis3 sing2
UNAPPETIZING	an0 nxp3 phet1 thaj3 sing2
UNAPPETIZINGLY	an0 nxp3 phet1 thaj3 sing2 lii2
UNAPPETIZINGS	an0 nxp3 phet1 thaj3 sing2
UNAPPLAUDED	an0 nxp3 phl@@t3 det1
UNAPPLAUDING	an0 nxp3 phl@@t3 ding2
UNAPPLIABLE	an0 nxp3 phlaaj0 ee0 bql2
UNAPPLIABLENESS	an0 nxp3 phlaaj0 ee0 bql2 nees1
UNAPPLIABLY	an0 nxp3 phlaaj0 ee0 blii2
UNAPPLIANCED	an0 nxp3 phlaaj0 xxn3
UNAPPLICABLE	an0 nxp3 phli3 khee0 bql2
UNAPPLIED	an0 nxp3 phlaaj0
UNAPPLYING	an0 nxp3 phlaaj0 ing2
UNAPPRAISED	an0 nxp3 phrees3
UNAPPRECIABLE	an0 nxp3 phrii0 chqq0 bql2
UNAPPRECIABLY	an0 nxp3 phrii0 chqq0 blii2
UNAPPRECIATED	an0 nxp3 phrii0 chi1 eet3 thet1
UNAPPRECIATING	an0 nxp3 phrii0 chi1 eet3 ting2
UNAPPRECIATION	an0 nxp3 phrii0 chi3 ee0 chan2
UNAPPRECIATIVE	an0 nxp3 phrii0 chqq0 thiif1
UNAPPRECIATIVELY	an0 nxp3 phrii0 chqq0 thiif1 lii2
UNAPPRECIATIVENESS	an0 nxp3 phrii0 chqq0 thiif1 nees1
UNAPPREHENDABLE	an0 nxp3 phrii0 chq1 bql2
UNAPPREHENDABLENESS	an0 nxp3 phrii0 chq1 bql2 nees1
UNAPPREHENSIBLE	an0 nxp3 phrii0 chi1 bql2
UNAPPREHENSIBLENESS	an0 nxp3 phrii0 chi1 bql2 nees1
UNAPPRENTICED	an0 nxp3 phren0 this3
UNAPPRISED	an0 nxp3 phraj3
UNAPPRISEDLY	an0 nxp3 phraj3 set1 lii2
UNAPPRIZED	an0 nxp3 phraj3
UNAPPROACHABILITY	an0 nxp3 phrooch3 chq1 bi1 li3 tii2
UNAPPROACHABLE	an0 nxp3 phrooch3 chqq0 bql2
UNAPPROACHABLENESS	an0 nxp3 phrooch3 chqq0 bql2 nees1
UNAPPROACHABLY	an0 nxp3 phrooch3 chqq0 blii2
UNAPPROACHED	an0 nxp3 phrooch3
UNAPPROACHING	an0 nxp3 phrooch3 ching2
UNAPPROPRIATE	an0 nxp3 phroo0 phri3 eet1
UNAPPROPRIATED	an0 nxp3 phroo0 phri3 eet3 thet1
UNAPPROPRIATELY	an0 nxp3 phroo0 phri3 eet1 lii2
UNAPPROPRIATENESS	an0 nxp3 phroo0 phri3 eet1 nees1
UNAPPROPRIATION	an0 nxp3 phr@@0 phri3 ee0 chan2
UNAPPROVABLE	an0 nxp3 phruuf3 wee0 bql2
UNAPPROVABLENESS	an0 nxp3 phruuf3 wee0 bql2 nees1
UNAPPROVABLY	an0 nxp3 phruuf3 wee0 blii2
UNAPPROVED	an0 nxp3 phruuf3
UNAPPROVING	an0 nxp3 phruuf3 wing2
UNAPPROVINGLY	an0 nxp3 phruuf3 wing2 lii2
UNAPPROXIMATE	an0 nxp3 phr@k3 si1 meet1
UNAPPROXIMATELY	an0 nxp3 phr@k3 si1 meet3 lii2
UNARGUABLE	an0 naa0 kuu0 a1 bql2
UNARGUABLY	an0 naa0 kuu0 a1 blii2
UNARGUED	an0 naa0 kiw3
UNARGUING	an0 naa0 kiw0 ing2
UNARGUMENTATIVE	an0 naa0 kiw0 men3 thee0 thiif1
UNARGUMENTATIVELY	an0 naa0 kiw0 men3 thee0 thiif1 lii2
UNARM	an0 naam0
UNARMED	an0 naam0
UNARMS	an0 naam0
UNARTICLED	an0 naa0 thi1 khql2
UNARTICULATE	an0 naa0 thi3 khiw0 leet1
UNARTICULATED	an0 naa0 thi3 khiw0 leet3 thet1
UNARTICULATELY	an0 naa0 thi3 khiw0 leet1 lii2
UNARTIFICIAL	an0 naa0 thi1 fi3 chiial2
UNARTIFICIALITY	an0 naa0 thi1 fi3 chiial2 li3 tii2
UNARTIFICIALLY	an0 naa0 thi1 fi3 chiial2 lii2
UNARTISTIC	an0 naa0 this3 tik1
UNARTISTICAL	an0 naa0 this3 ti1 kh@l2
UNARTISTICALLY	an0 naa0 this3 ti1 khq1 lii2
UNASCENDABLE	an0 nxs3 sen0 dee0 bql2
UNASCENDABLENESS	an0 nxs3 sen0 dee0 bql2 nees1
UNASCERTAINABLE	an0 nxs3 sqq0 then0 nee0 bql2
UNASCERTAINABLENESS	an0 nxs3 sqq0 then0 nee0 bql2 nees1
UNASCERTAINABLY	an0 nxs3 sqq0 then0 nee0 blii2
UNASCERTAINED	an0 nxs3 sqq0 then2
UNASHAMED	an0 nxs3 cheem0
UNASHAMEDLY	an0 nxs3 cheem0 lii2
UNASKED	an0 naas3
UNASKING	an0 naas3 king2
UNASPHALTED	an0 nxs3 ph@l3 thet1
UNASPIRATED	an0 nxs3 phq1 reet3 thet1
UNASSAILABILITY	an0 nxs3 seel0 lq1 bi1 li3 tii2
UNASSAILABLE	an0 nxs3 seel0 lee0 bql2
UNASSAILABLENESS	an0 nxs3 seel0 lee0 bql2 nees1
UNASSAILABLY	an0 nxs3 seel0 lee0 blii2
UNASSAILED	an0 nxs3 seel0
UNASSAILING	an0 nxs3 seel0 ling2
UNASSAYED	an0 nxs3 seet2
UNASSAYING	an0 nxs3 see0 ing2
UNASSERTIVE	an0 nxs3 sqq0 thiif1
UNASSESSABLE	an0 nxs3 sees3 see0 bql2
UNASSESSABLENESS	an0 nxs3 sees3 see0 bql2 nees1
UNASSIGNABLE	an0 nxs3 saaj0 nee0 bql2
UNASSIGNABLY	an0 nxs3 saaj0 nee0 blii2
UNASSIGNED	an0 nxs3 saaj0
UNASSIMILATED	an0 nxs3 si1 mi1 leet3 thet1
UNASSIMILATING	an0 nxs3 si1 mi1 leet3 ting2
UNASSIMILATIVE	an0 nxs3 si1 mi1 lee0 thiif1
UNASSISTED	an0 nxs3 sis3 thet1
UNASSISTING	an0 nxs3 sis3 ting2
UNASSUMABLE	an0 nxs3 suum0 mee0 bql2
UNASSUMED	an0 nxs1 suum0
UNASSUMING	an0 nxs1 suum0 ming2
UNASSUMINGLY	an0 nxs1 suum0 ming2 lii2
UNATTACH	an0 nxt3 thxxch3
UNATTACHABLE	an0 nxt3 thxxch3 chqq0 bql2
UNATTACHED	an0 nxt3 thxxch3
UNATTACHED	an0 nxt3 thxxch3
UNATTACHMENT	an0 nxt3 thxxch3 men3
UNATTACKED	an0 nxt3 thxk1
UNATTAINABILITY	an0 nxt3 theen0 nq1 bi1 li3 tii2
UNATTAINABLE	an0 nxt3 thaaj0 nee0 bql2
UNATTAINABLE	an0 nxt3 theen0 nee0 bql2
UNATTAINABLENESS	an0 nxt3 theen0 nee0 bql2 nees1
UNATTAINABLY	an0 nxt3 theen0 nee0 blii2
UNATTAINED	an0 nxt3 theen0
UNATTAINING	an0 nxt3 theen0 ning2
UNATTAINMENT	an0 nxt3 theen0 men3
UNATTAINT	an0 nxt3 theen0
UNATTAINTED	an0 nxt3 theen0 thet1
UNATTAINTEDLY	an0 nxt3 theen0 thet1 lii2
UNATTEMPERED	an0 nxt3 theem3 phqq2
UNATTEMPTABLE	an0 nxt3 theem3 thee0 bql2
UNATTEMPTED	an0 nxt3 theem3 thet1
UNATTEMPTING	an0 nxt3 theem3 ting2
UNATTENDANCE	an0 nxt3 theen0 dxxn3
UNATTENDANT	an0 nxt3 theen0 dxxn3
UNATTENDED	an0 nxt3 theen0 det1
UNATTENTED	an0 nxt3 theen0 thet1
UNATTENTIVE	an0 nxt3 theen0 thiif1
UNATTENUATED	an0 nxt3 theen0 nuu0 eet3 thet1
UNATTESTED	an0 nxt3 thees3 thet1
UNATTESTEDNESS	an0 nxt3 thees3 thet1 nees1
UNATTRACT	an0 nxt3 thrxk1
UNATTRACTABLE	an0 nxt3 thrxk3 thee0 bql2
UNATTRACTABLENESS	an0 nxt3 thrxk3 thee0 bql2 nees1
UNATTRACTED	an0 nxt3 thrxk3 thet1
UNATTRACTING	an0 nxt3 thrxk3 ting2
UNATTRACTIVE	an0 nxt3 thrxk3 thiif1
UNATTRACTIVELY	an0 nxt3 thrxk3 thiif1 lii2
UNATTRACTIVENESS	an0 nxt3 thrxk3 thiif1 nees1
UNATTRIBUTABLE	an0 nxt3 thri1 biw3 thee0 bql2
UNATTRIBUTABLY	an0 nxt3 thri1 biw3 thee0 blii2
UNATTRIBUTED	an0 nxt3 thri1 biw3 thet1
UNAUTHENTIC	an0 n@@0 then0 tik1
UNAUTHENTICAL	an0 n@@0 then0 thi1 kh@l2
UNAUTHENTICALLY	an0 n@@0 then0 thi3 khq1 lii2
UNAUTHENTICATED	an0 n@@0 then0 thi1 kheet3 thet1
UNAUTHENTICITY	an0 n@@0 then0 thi3 si3 tii2
UNAUTHORISE	an0 n@@0 thq1 raj3
UNAUTHORISED	an0 n@@0 thq1 raj3
UNAUTHORISEDLY	an0 n@@0 thq1 raj3 set1 lii2
UNAUTHORISEDS	an0 n@@0 thq1 raj3
UNAUTHORISES	an0 n@@0 thq1 raj3 ses1
UNAUTHORIZABLE	an0 n@@0 thq1 raj3 sa1 bql2
UNAUTHORIZE	an0 n@@0 thq1 raj3
UNAUTHORIZED	an0 n@@0 thq1 raj3
UNAUTHORIZEDS	an0 n@@0 thq1 raj3
UNAUTHORIZES	an0 n@@0 thq1 raj3 ses1
UNAVAIL	an0 na1 weel0
UNAVAILABILITIES	an0 na1 weel0 lq1 bi1 li3 tii2
UNAVAILABILITY	an0 na1 weel0 lq1 bi1 li3 tii2
UNAVAILABLE	an0 na1 weel0 lee0 bql2
UNAVAILABLENESS	an0 na1 weel0 lee0 bql2 nees1
UNAVAILABLES	an0 na1 weel0 lee0 bql2
UNAVAILABLY	an0 na1 weel0 lee0 blii2
UNAVAILED	an0 na1 weel0
UNAVAILING	an0 na1 weel0 ling2
UNAVAILINGLY	an0 na1 weel0 ling2 lii2
UNAVAILINGNESS	an0 na1 weel0 ling0 nees1
UNAVENGEABLE	an0 na1 ween3 cee0 bql2
UNAVENGED	an0 na1 ween3
UNAVOIDABILITY	an0 na1 w@@j0 dq1 bi1 li3 tii2
UNAVOIDABLE	an0 na1 w@@j0 dee0 bql2
UNAVOIDABLENESS	an0 na1 w@@j0 dee0 bql2 nees1
UNAVOIDABLY	an0 na1 w@@j0 dee0 blii2
UNAVOIDED	an0 na1 w@@j0 det1
UNAVOIDING	an0 na1 w@@j0 ding2
UNAWAKE	an0 na1 week3
UNAWAKED	an0 na1 week3
UNAWAKENED	an0 na1 week3 khen2
UNAWAKENING	an0 na1 week3 khen0 ning2
UNAWAKING	an0 na1 week3 king2
UNAWARE	an0 na1 wxx0
UNAWARED	an0 na1 wxxt2
UNAWARENESS	an0 na1 wxx0 nees1
UNAWARES	an0 na1 wxxs2
UNAWAY	an0 na1 wee0
UNBACKED	an0 bxk3
UNBACKWARD	an0 bxk3 wqqt1
UNBAKED	an0 beek3
UNBAKING	an0 beek3 king2
UNBALANCE	an0 bxx0 laan3
UNBALANCEABLE	an0 bxx0 laan3 see0 bql2
UNBALANCEABLY	an0 bxx0 laan3 see0 blii2
UNBALANCED	an0 bxx0 laan3
UNBALANCES	an0 bxx0 laan3 ses1
UNBALANCING	an0 bxx0 laan3 sing2
UNBALCONIED	an0 bxxl0 khq1 nii2
UNBALLAST	an0 bxxl0 laas3
UNBALLASTED	an0 bxxl0 laas3 thet1
UNBALLOTED	an0 bxxl0 l@t3 thet1
UNBANK	an0 bxxng3
UNBANKABLE	an0 bxxng3 ngee0 bql2
UNBANKED	an0 bxxng3
UNBANKRUPT	an0 bxxng3 rap3
UNBANKS	an0 bxxng3
UNBAPTIZE	an0 bxp3 thaj3
UNBAPTIZED	an0 bxp3 thaj3
UNBAPTIZES	an0 bxp3 thaj3 ses1
UNBAR	an0 baa0
UNBARK	an0 baak3
UNBARKED	an0 baak3
UNBARKING	an0 baak3 king2
UNBARRED	an0 baat2
UNBARRING	an0 baa0 ring2
UNBARS	an0 baas2
UNBATHED	an0 beet3 thet1
UNBEAR	an0 bxx0
UNBEARABILITY	an0 bxx0 rq1 bi1 li3 tii2
UNBEARABLE	an0 bxx0 ree0 bql2
UNBEARABLENESS	an0 bxx0 ree0 bql2 nees1
UNBEARABLY	an0 bxx0 ree0 blii2
UNBEARD	an0 biiat3
UNBEARDED	an0 biiat3 det1
UNBEARING	an0 bxx0 ring2
UNBEARS	an0 bxxs2
UNBEATABLE	an0 biit3 thee0 bql2
UNBEATABLENESS	an0 biit3 thee0 bql2 nees1
UNBEATABLY	an0 biit3 thee0 blii2
UNBEATED	an0 biit3 thet1
UNBEATEN	an0 biit3 then2
UNBEATENS	an0 biit3 then2
UNBECLOUDED	an0 bii0 khlaaw0 det1
UNBECOME	an0 bii0 kham0
UNBECOMING	an0 bii0 kham0 ming2
UNBECOMINGLY	an0 bii0 kham0 ming2 lii2
UNBEFIT	an0 bii0 fit3
UNBEFITTING	an0 bii0 fit3 ting2
UNBEFITTINGLY	an0 bii0 fit3 ting2 lii2
UNBEFRIEND	an0 bii0 freen0
UNBEFRIENDED	an0 bii0 freen0 det1
UNBEGET	an0 bii0 ket1
UNBEGINNING	an0 bii0 kin0 ning2
UNBEGINNINGLY	an0 bii0 kin0 ning2 lii2
UNBEGOT	an0 bii0 k@t1
UNBEGOTTEN	an0 bii0 k@t3 then2
UNBEGOTTENLY	an0 bii0 k@t3 then2 lii2
UNBEGOTTENNESS	an0 bii0 k@t3 then2 nees1
UNBEGREASED	an0 bii0 kriis3
UNBEGRIMED	an0 bii0 kraam0
UNBEGRUDGED	an0 bii0 krac3
UNBEGUILE	an0 bii0 kaaj0
UNBEGUILED	an0 bii0 kaaj0
UNBEGUILEFUL	an0 bii0 kaaj0 fuul0
UNBEGUN	an0 bii0 kan0
UNBEKNOWN	an0 bii0 noon0
UNBEKNOWNEST	an0 bii0 noon0 nees1
UNBEKNOWNST	an0 bii0 noon0
UNBELIED	an0 bii0 laj3
UNBELIEF	an0 bii0 liif3
UNBELIEFS	an0 bii0 liif3
UNBELIEVABLE	an0 bii0 liif3 wee0 bql2
UNBELIEVABLENESS	an0 bii0 liif3 wee0 bql2 nees1
UNBELIEVABLY	an0 bii0 liif3 wee0 blii2
UNBELIEVE	an0 bii0 liif3
UNBELIEVED	an0 bii0 liif3
UNBELIEVER	an0 bii0 liif3 wqq2
UNBELIEVERS	an0 bii0 liif3 wqq2
UNBELIEVING	an0 bii0 liif3 wing2
UNBELIEVINGLY	an0 bii0 liif3 wing2 lii2
UNBELLIGERENT	an0 bii0 li3 cq1 ren3
UNBELONGING	an0 bii0 l@@ng0 nging2
UNBELOVED	an0 bii0 lqqf3
UNBELT	an0 beel3
UNBELTED	an0 beel3 thet1
UNBENCH	an0 been3
UNBENCHED	an0 been3
UNBEND	an0 been3
UNBENDABLE	an0 been3 dee0 bql2
UNBENDABLENESS	an0 been3 dee0 bql2 nees1
UNBENDABLY	an0 been3 dee0 blii2
UNBENDED	an0 been3 det1
UNBENDING	an0 been3 ding2
UNBENDINGLY	an0 been3 ding2 lii2
UNBENDS	an0 been3
UNBENEFICED	an0 bee0 ni1 fis3
UNBENEFICENT	an0 bee0 ni3 fi1 sen2
UNBENEFICIAL	an0 bee0 ni1 fi3 chiial2
UNBENEFITABLE	an0 bee0 ni1 fit3 thee0 bql2
UNBENEFITED	an0 bee0 ni1 fit3 thet1
UNBENEFITING	an0 bee0 ni1 fit3 ting2
UNBENT	an0 been3
UNBIASED	an0 baj0 xs1
UNBIASSED	an0 baj0 xs1
UNBID	an0 bit1
UNBIDDABLE	an0 bit3 dee0 bql2
UNBIDDEN	an0 bit3 den2
UNBIND	an0 baaj0
UNBINDABLE	an0 baaj0 dee0 bql2
UNBINDING	an0 baaj0 ding2
UNBINDS	an0 baaj0
UNBITING	an0 baj3 ting2
UNBLEACHED	an0 bliich3
UNBLEACHING	an0 bliich3 ching2
UNBLEMISHED	an0 blee0 mich3
UNBLEMISHING	an0 blee0 mich3 ching2
UNBLIGHTED	an0 blaj3 thet1
UNBLIGHTEDLY	an0 blaj3 thet1 lii2
UNBLIGHTEDNESS	an0 blaj3 thet1 nees1
UNBLIND	an0 blaaj0
UNBLINDED	an0 blaaj0 det1
UNBLINDFOLD	an0 blaaj0 fool0
UNBLINDFOLDED	an0 blaaj0 fool0 det1
UNBLINDING	an0 blaaj0 ding2
UNBLITHE	an0 blaaj3
UNBLITHELY	an0 blaaj0 lii2
UNBLOCK	an0 bl@k3
UNBLOCKABLE	an0 bl@k3 khee0 bql2
UNBLOCKADED	an0 bl@k3 kheet3 det1
UNBLOCKED	an0 bl@k3
UNBLOCKING	an0 bl@k3 king2
UNBLOCKS	an0 bl@k3
UNBLOSSOMED	an0 bl@@s3 sam2
UNBLOSSOMING	an0 bl@@s3 sam0 ming2
UNBLOTTED	an0 bl@t3 thet1
UNBLUFFED	an0 blaf3
UNBLUFFING	an0 blaf3 fing2
UNBLUNDER	an0 blan0 dqq2
UNBLUNDERED	an0 blan0 dqq2
UNBLUNDERING	an0 blan0 dqq0 ring2
UNBLUNTED	an0 blan0 thet1
UNBLUSH	an0 blach3
UNBLUSHING	an0 blach3 ching2
UNBLUSHINGLY	an0 blach3 ching2 lii2
UNBOAT	an0 boot3
UNBOIL	an0 b@@j0
UNBOILED	an0 b@@j0
UNBOLD	an0 bool0
UNBOLDEN	an0 bool0 den2
UNBOLDLY	an0 bool0 lii2
UNBOLDNESS	an0 bool0 nees1
UNBOLSTER	an0 bool0 sa1 tqq2
UNBOLSTERED	an0 bool0 sa1 tqq2
UNBOLT	an0 bool3
UNBOLTED	an0 bool3 thet1
UNBOLTING	an0 bool3 ting2
UNBOLTS	an0 bool3
UNBONDED	an0 b@@n0 det1
UNBONDING	an0 b@@n0 ding2
UNBONNET	an0 b@@n0 net1
UNBONNETED	an0 b@@n0 net3 thet1
UNBONNY	an0 b@n0 nii2
UNBORN	an0 b@@n0
UNBORNE	an0 b@@n0
UNBORNS	an0 b@@n0
UNBOSOM	an0 buus3 sam2
UNBOSOMED	an0 buus3 sam2
UNBOSOMING	an0 buus3 sam0 ming2
UNBOSOMS	an0 buus3 sam2
UNBOUGHT	an0 b@@t3
UNBOUNCED	an0 baaw3
UNBOUND	an0 baaw0
UNBOUNDABLE	an0 baaw0 dee0 bql2
UNBOUNDABLENESS	an0 baaw0 dee0 bql2 nees1
UNBOUNDABLY	an0 baaw0 dee0 blii2
UNBOUNDED	an0 baaw0 det1
UNBOUNDEDLY	an0 baaw0 det1 lii2
UNBOUNDEDNESS	an0 baaw0 det1 nees1
UNBOUNDING	an0 baaw0 ding2
UNBOUNDLESS	an0 baaw0 lees1
UNBOUNTEOUS	an0 baaw3 thiias2
UNBOUNTIFUL	an0 baaw3 thi1 fuul0
UNBOUNTIFULLY	an0 baaw3 thi1 fuul0 lii2
UNBOUNTIFULNESS	an0 baaw3 thi1 fuul0 nees1
UNBOWDLERISING	an0 baaw0 dqq0 raj3 sing2
UNBOWDLERIZED	an0 baaw0 dqq0 raj3
UNBOWED	an0 baaw0
UNBRACE	an0 brees3
UNBRACED	an0 brees3
UNBRACELET	an0 brees3 let1
UNBRACELETED	an0 brees3 let3 thet1
UNBRAID	an0 breet3
UNBRAIDED	an0 breet3 det1
UNBRAIDING	an0 breet3 ding2
UNBRAILED	an0 breel0
UNBRAINED	an0 breen0
UNBRAKED	an0 breek1
UNBRAND	an0 brxxn0
UNBRANDED	an0 brxxn0 det1
UNBRANDIED	an0 brxxn0 dii2
UNBRAVE	an0 breef3
UNBRAVED	an0 breef3
UNBRAVELY	an0 breef3 lii2
UNBRAZE	an0 brees3
UNBREAKABLE	an0 breek3 khee0 bql2
UNBREAKABLENESS	an0 breek3 khee0 bql2 nees1
UNBREAKABLY	an0 breek3 khee0 blii2
UNBREAKING	an0 breek3 king2
UNBREATHED	an0 briit3
UNBREATHING	an0 briit3 ding2
UNBRED	an0 breet3
UNBRIBABLE	an0 braj3 bqq0 bql2
UNBRIBABLENESS	an0 braj3 bqq0 bql2 nees1
UNBRIBABLY	an0 braj3 bqq0 blii2
UNBRIBED	an0 braj3
UNBRIBING	an0 braj3 bing2
UNBRIDLE	an0 braaj0 dql2
UNBRIDLED	an0 braaj0 dql2
UNBRIDLES	an0 braaj0 dql2
UNBRIDLING	an0 braaj0 dling2
UNBRIGHT	an0 braj3
UNBRIGHTENED	an0 braj3 then2
UNBRINED	an0 braaj0
UNBRITTLE	an0 brit3 thql2
UNBROACHED	an0 br@@ch3
UNBROKE	an0 brook3
UNBROKEN	an0 brook3 khen2
UNBROKENLY	an0 brook3 khen2 lii2
UNBROKENNESS	an0 brook3 khen2 nees1
UNBROOCH	an0 brooch3
UNBUCKLE	an0 bak3 khql2
UNBUCKLED	an0 bak3 khql2
UNBUCKLES	an0 bak3 khql2
UNBUCKLING	an0 bak3 khling2
UNBUCKRAMED	an0 bak3 krxm2
UNBURDEN	an0 bqqt3 den2
UNBURDENED	an0 bqqt3 den2
UNBURDENING	an0 bqqt3 den0 ning2
UNBURDENS	an0 bqqt3 den2
UNBURDENSOME	an0 bqqt3 den2 sam0
UNBURDENSOMENESS	an0 bqqt3 den2 sam0 nees1
UNBURIAL	an0 bee0 riial2
UNBURIED	an0 bee0 rii2
UNBURIES	an0 bee0 rii2
UNBURN	an0 bqqn0
UNBURNABLE	an0 bqqn0 nee0 bql2
UNBURNABLES	an0 bqqn0 nee0 bql2
UNBURNED	an0 bqqn0
UNBURNING	an0 bqqn0 ning2
UNBURNISHED	an0 bqqn0 nich3
UNBURNT	an0 bqen3
UNBURST	an0 bqqs3
UNBUTTER	an0 bat3 thqq2
UNBUTTERED	an0 bat3 thqq2
UNBUTTON	an0 bat3 th@n2
UNBUTTONED	an0 bat3 th@n2
UNBUTTONING	an0 bat3 th@n2 ning2
UNBUTTONS	an0 bat3 th@n2
UNBUTTRESSED	an0 bat3 tres1
UNCALL	an0 kh@@l0
UNCALLABLE	an0 kh@@l0 lee0 bql2
UNCALLED	an0 kh@@l0
UNCANCELED	an0 khxxn0 sql2
UNCANCELLED	an0 khxxn0 sql2
UNCANDID	an0 khxxn0 det1
UNCANDIDLY	an0 khxxn0 dit3 lii2
UNCANDIED	an0 khxxn0 dii2
UNCANDLED	an0 khxxn0 dql2
UNCANDOR	an0 khxxn0 dqq2
UNCANDORS	an0 khxxn0 dqq2
UNCANDOUR	an0 khxxn0 dqq2
UNCANDOURS	an0 khxxn0 dqq2
UNCANNED	an0 khxxn0
UNCANNIER	an0 khxxn0 ni1 qq2
UNCANNIEST	an0 khxxn0 ni1 es1
UNCANNILY	an0 khxxn0 ni1 lii2
UNCANNY	an0 khxxn0 nii2
UNCANONIC	an0 khxxn0 noo0 nik1
UNCANONICAL	an0 khxxn0 noo0 ni3 kh@l2
UNCANONICALLY	an0 khxxn0 noo0 ni3 khq1 lii2
UNCANONICALNESS	an0 khxxn0 noo0 ni3 kh@l2 nees1
UNCANONICLES	an0 khxxn0 noo0 ni3 kh@l2
UNCANTONED	an0 khxxn0 thqn2
UNCANVASSED	an0 khxxn0 waas3
UNCAP	an0 khxp3
UNCAPHER	an0 khxp3 pqq2
UNCAPITALISED	an0 khxp3 pi1 th@l2 laj3
UNCAPITALIST	an0 khxp3 pi1 th@l2 lis3
UNCAPITALIZED	an0 khxp3 pi1 th@l2 laj3
UNCAPPED	an0 khxp3
UNCAPPER	an0 khxp3 phqq2
UNCAPPING	an0 khxp3 ping2
UNCAPS	an0 khxp3
UNCAPSIZABLE	an0 khxp3 saj3 sa1 bql2
UNCAPSIZED	an0 khxp3 saj3
