DA	daa0
DAUNTON	d@@n3 tan2
DAUNTS	d@@n3
DAUPHIN	d@p3 fin2
DAUPHINES	d@p3 fin2
DAUPHINESS	d@p3 fin2 nees1
DAUPHINS	d@p3 fin0
DAVE	deef3 
DAVELYNN	daa0 weel1 liin0
DAVENPORT	daa0 wen0 p@@t1
DAVENPORTS	daa0 wen0 p@@t1
DAVENTRY	daa0 wen0 thrii2
DAVES	deef3 
DAVEY	dee0 wii2
DAVID	dee0 wit1
DAVIDIAN	dee0 wi3 diian2
DAVIDIANS	dee0 wi3 diian2
DAVIDMAN	dee0 wit1 mxxn0
DAVIDOFF	dee0 wi3 d@@f3 
DAVIDOFFS	dee0 wi3 d@@f3 
DAVIDR	dee0 wit3 dqq2
DAVIDS	dee0 wit1
DAVIDSEN	dee0 wit3 sen2
DAVIDSON	dee0 wit3 san2
DAVIDSONS	dee0 wit3 san2
DAVIDSONVILLE	dee0 wit3 san2 wiil0
DAVIES	dee0 wii2
DAVIESES	dee0 wii2 ses1
DAVIN	dee0 win2
DAVINE	dee0 win2
DAVINIA	dee0 wi3 niia0
DAVINIC	dee0 wi3 nik1
DAVINICH	dee0 wi3 nik1
DAVINSON	dee0 win0 san2
DAVIS	dee0 wis3
DAVISES	dee0 wis3 ses1
DAVISSON	dee0 wis3 san2
DAVISTON	dee0 wis3 tan2
DAVISTOWN	dee0 wis3 taaw0
DAVIT	dee0 wit1
DAVITORIA	dee0 wit3 th@@0 riia0
DAVITS	dee0 wit1
DAVY	dee0 wii2
DAW	d@@0
DAWDLE	d@@0 dql2
DAWDLED	d@@0 dql0 let1
DAWDLER	d@@0 dql0 rqq2
DAWDLERS	d@@0 dql0 lqq2
DAWDLES	d@@0 dql0 les1
DAWDLING	d@@0 dql0 ling2
DAWDLINGLY	d@@0 dql0 ling0 lii2
DAWES	d@@0
DAWESES	d@@0 ses1
DAWING	d@@0 ing2
DAWKINGS	d@@0 king2
DAWKINS	d@@0 kin2
DAWKINSES	d@@0 kin0 ses1
DAWLEY	d@@0 lii2
DAWLING	d@@0 ling2
DAWLISH	d@@0 lich3
DAWN	d@@n0
DAWNED	d@@n0 nit1
DAWNING	d@@n0 ning2
DAWNINGS	d@@n0 ning2
DAWNS	d@@n0
DAWNSING	d@@n0 sing2
DAWS	d@@0
DAWSON	d@@0 san2
DAWSONS	d@@0 san2
DAWSONVILLE	d@@0 san2 wil0
DAY	dee0
DAYBED	dee0 beet3
DAYBEDS	dee0 beet3
DAYBOOK	dee0 buk3
DAYBOOKS	dee0 buk3
DAYBOY	dee0 b@@j0
DAYBOYS	dee0 b@@j0
DAYBREAK	dee0 breek1
DAYBREAKS	dee0 breek1
DAYBRIGHT	dee0 braj3
DAYBROOK	dee0 bruuk3
DAYCARE	dee0 khxx0
DAYDREAM	dee0 driim0
DAYDREAMED	dee0 driim0 met2
DAYDREAMER	dee0 driim0 mqq2
DAYDREAMERS	dee0 driim0 mqq2
DAYDREAMING	dee0 driim0 ming2
DAYDREAMLIKE	dee0 driim0 laj3
DAYDREAMS	dee0 driim0
DAYDREAMT	dee0 drim3
DAYDREAMY	dee0 driim0 mii2
DAYEST	dee0 es1
DAYFLIES	dee0 flaaj0
DAYFLOWER	dee0 flaaw0 wqq2
DAYFLOWERS	dee0 flaaw0 wqq2
DAYFLY	dee0 flaaj0
DAYGIRL	dee0 kqql2
DAYGIRLS	dee0 kqql2
DAYGLOW	dee0 kloo0
DAYGLOWS	dee0 kloo0
DAYHUFF	dee0 haf3 
DAYLEY	dee0 lee2
DAYLIGHT	dee0 laj3
DAYLIGHTED	dee0 laj3 thet1
DAYLIGHTERS	dee0 laj3 tqq2
DAYLIGHTING	dee0 laj3 ting2
DAYLIGHTS	dee0 laj3
DAYLIGHTY	dee0 laj3 tii2
DAYLILIES	dee0 li1 lis2
DAYLILY	dee0 li1 lii2
DAYLINER	dee0 laaj0 nqq2
DAYLIT	dee0 lit3
DAYLONG	dee0 l@@ng0
DAYMARE	dee0 maa0
DAYNARD	dee0 naat1
DAYROOM	dee0 ruum0
DAYROOMS	dee0 ruum0
DAYS	dee0
DAYSIDE	dee0 saj3
DAYSIDES	dee0 saj3
DAYSPRING	dee0 sa1 pring2
DAYSPRINGS	dee0 sa1 pring2
DAYSTAR	dee0 sa1 taa0
DAYSTARS	dee0 sa1 taa0
DAYTIME	dee0 thaam0
DAYTIMER	dee0 thaam0 mqq2
DAYTIMERS	dee0 thaam0 mqq2
DAYTIMES	dee0 thaam0
DAYTON	dee0 than2
DAYTONIAN	dee0 thoo0 niian2
DAYTONIANS	dee0 thoo0 niian2
DAYTOP	dee0 th@p3
DAYWORK	dee0 wqqk3
DAYWORKER	dee0 wqqk3 kqq2
DAYWORKERS	dee0 wqqk3 kqq2
DAYWORKS	dee0 wqqk3
DAZE	dxxs3
DAZED	dxxs3 set1
DAZEDLY	dxxs3 set1 lii2
DAZEDNESS	dxxs3 set1 nees1
DAZES	dxxs3 ses1
DAZING	dxxs3 sing2
DAZINGLY	dxxs3 sing2 lii2
DAZZLE	dxxs3 sql2
DAZZLED	dxxs3 sql0 let1
DAZZLER	dxxs3 lqq2
DAZZLERS	dxxs3 lqq2
DAZZLES	dxxs3 sql0 les1
DAZZLING	dxxs3 ling2
DAZZLINGEST	dxxs3 ling2 kees1
DAZZLINGLY	dxxs3 ling0 lii2
DC	dii0 cii0
DE	dqq2
DEACON	dii0 kh@n2
DEACONAL	dii0 kh@n0 nel0
DEACONATE	dii0 kh@n0 neet1
DEACONED	dii0 kh@n2 net1
DEACONESS	dii0 kh@n2 nees1
DEACONESSES	dii0 kh@n2 nes3 ses1
DEACONHOOD	dii0 kh@n2 huut3
DEACONING	dii0 kh@n2 ning2
DEACONISES	dii0 kh@n2 nis1 ses1
DEACONRIES	dii0 kh@n2 raj3
DEACONRY	dii0 kh@n2 rii2
DEACONS	dii0 kh@n2
DEACONSHIP	dii0 kh@n2 chip3
DEAD	deet3
DEADBAND	deet3 bxxn0
DEADBEAT	deet3 biit1
DEADBEATS	deet3 biit1
DEADEN	deet3 dqn2
DEADEND	deet3 den2
DEADENDS	deet3 den2
DEADENED	deet3 den0 net1
DEADENER	deet3 den0 nqq2
DEADENERS	deet3 den0 nqq2
DEADENERS	deet3 den0 nqq2
DEADENING	deet3 den0 ning2
DEADENINGLY	deet3 den0 ning2 lii2
DEADENS	deet3 den2
DEADER	deet3 dqq2
DEADERICK	deet3 dql0 rik1
DEADEST	deet3 des1
DEADEYE	deet3 aaj0
DEADEYES	deet3 aaj0
DEADFALL	deet3 foo0
DEADFALLS	deet3 foo0
DEADHEAD	deet3 heet3
DEADHEADED	deet3 heet3 det2
DEADHEADING	deet3 heet3 ding2
DEADHEADS	deet3 heet3
DEADIN	deet3 din2
DEADING	deet3 ding2
DEADLAND	deet3 lxxn0
DEADLIER	deet3 li1 ee2
DEADLIEST	deet3 li1 es1
DEADLIGHT	deet3 laj3
DEADLINE	deet3 laaj0
DEADLINED	deet3 laaj0 net1
DEADLINERS	deet3 laaj0 nees1
DEADLINES	deet3 laaj0 nees1
DEADLINING	deet3 laaj0 ning2
DEADLOCK	deet3 l@k3
DEADLOCKED	deet3 l@k3 kit1
DEADLOCKING	deet3 l@k3 king2
DEADLOCKS	deet3 l@k3
DEADLY	deet3 lii2
DEADMAN	deet3 mxxn0
DEADNESS	deet3 nees1
DEADPAN	deet3 phxxn0
DEADPANNED	deet3 phxxn0 net1
DEADPANNER	deet3 phxxn0 nqq2
DEADPANNING	deet3 phxxn0 ning2
DEADPANS	deet3 phxxn0
DEADS	deet3
DEADWATER	deet3 w@@0 tqq2
DEADWEIGHT	deet3 weet1
DEADWEIGHTS	deet3 weet1
DEADWOOD	deet3 wuut3
DEADWOODS	deet3 wuut3
DEAF	def3 
DEAFEN	def3 fqn2
DEAFENED	def3 net1
DEAFENING	def3 ning2
DEAFENINGLY	def3 ning2 lii2
DEAFENS	def3 fqn2
DEAFER	def3 fqq2
DEAFEST	def3 fes1
DEAFNESS	def3 nees1
DEAL	diil0
DEALED	diil0 lit1
DEALER	diil0 lqq2
DEALERING	diil0 loo0 ring2
DEALERLINE	diil0 lqq2 laaj0
DEALERS	diil0 lqq2
DEALERSHIP	diil0 lqq2 chip3
DEALERSHIPS	diil0 lqq2 chip3
DEALFISH	diil0 fich3
DEALIES	diil0 lii2
DEALIEST	diil0 lii2 es1
DEALING	diil0 ling2
DEALINGS	diil0 ling2
DEALISM	diil0 lis3 svm2
DEALMAKER	diil0 meek3 kqq2
DEALMAKERS	diil0 meek3 kqq2
DEALMAKING	diil0 meek3 king2
DEALS	diil0
DEALT	deel3
DEAN	diin0
DEANER	diin0 nqq2
DEANERIES	diin0 nql0 rii2
DEANERS	diin0 nees1
DEANERY	diin0 nql0 rii2
DEANES	diin0 nees1
DEANING	diin0 ning2
DEANS	diin0
DEANSES	diin0 ses1
DEANSHIP	diin0 chip3
DEANSHIPS	diin0 chip3
DEAR	diia0
DEARBORN	diia0 b@@n0
DEARBORNE	diia0 b@@n0
DEARDEN	diia0 den2
DEARDON	diia0 d@@n0
DEARED	diia0 ret1
DEARER	diia0 rqq2
DEAREST	diia0 rees3
DEARIE	diia0 rii2
DEARIES	diia0 rii2
DEARING	diia0 ring2
DEARINGER	diia0 ring2 kqq2
DEARINGS	diia0 ring2
DEARINGTON	diia0 ring2 tan2
DEARLY	diia0 lii2
DEARMAN	diia0 mxxn0
DEARMANVILLE	diia0 mxxn0 wil0
DEARMENT	diia0 men3
DEARNESS	diia0 nees1
DEARS	diias2
DEARTH	dqqt3
DEARTHS	dqqt3
DEARY	diia0 rii2
DEATH	det3
DEATHBED	det3 beet3
DEATHBEDS	det3 beet1
DEATHBLOW	det3 bloo2
DEATHBLOWS	det3 bloos2
DEATHCUP	det3 khap3
DEATHCUPS	det3 khap3
DEATHLESS	det3 les1
DEATHLESSLY	det3 lqs1 lii2
DEATHLESSNESS	det3 les3 nees1
DEATHLIKE	det3 laj3
DEATHLINE	det3 laaj0
DEATHLY	det3 lii2
DEATHRATE	det3 reet1
DEATHS	det3
DEATHTRAP	det3 thrxp1
DEATHTRAPS	det3 thrxp1
DEATHWATCH	det3 w@@ch3
DEATHWATCHES	det3 w@@ch3 ches1
DEB	dep3
DEBACH	dqq0 bak3
DEBACKER	dqq0 bak3 kqq2
DEBAG	dqq0 bxk3
DEBAGGED	dqq0 bxk3 
DEBAGGING	dqq0 bxk3 king2
DEBAGS	dqq0 bxk3
DEBAR	dqq0 baa0
DEBARBARIZATION	dqq0 baa0 bqq0 raj3 see0 chan0
DEBARBARIZE	dqq0 baa0 bqq0 raj3
DEBARD	dqq0 baat1
DEBARE	dqq0 bxx0
DEBARGE	dqq0 baa0
DEBARGER	dqq0 baa0 cqq2
DEBARGER	dqq0 baa0 cqq2
DEBARGES	dqq0 baa0 kes1
DEBARK	dqq0 baak3
DEBARKATION	dqq0 baak3 khee0 chan0
DEBARKATIONS	dqq0 baak3 khee0 chan0
DEBARKED	dqq0 baak3 khit2
DEBARKING	dqq0 baak3 king2
DEBARKMENT	dqq0 baak3 men3
DEBARKS	dqq0 baak3
DEBARRED	dqq0 baa0 ret2
DEBARRING	dqq0 baa0 ring2
DEBARS	dqq0 baa0
DEBART	dqq0 baat3
DEBASE	di1 bees1
DEBASED	di1 bees1 set2
DEBASEDNESS	di1 bees1 set2 nees1
DEBASEMENT	di1 bees1 men3
DEBASEMENTS	di1 bees1 men3
DEBASER	di1 bees1 sqq2
DEBASERS	di1 bees1 sqq2
DEBASES	di1 bees1 ses1
DEBASING	di1 bees1 sing2
DEBASINGLY	di1 bees1 sing2 lii2
DEBASIS	di1 bees1 sis1
DEBATABLE	di1 bxxt3 thqq0 bel0
DEBATABLY	di1 bxxt3 thqq0 blii2
DEBATE	di1 beet1
DEBATEABLE	di1 beet1 thqq0 bel0
DEBATED	di1 beet3 thet1
DEBATEMENT	di1 beet3 men3
DEBATER	di1 beet3 thqq2
DEBATERS	di1 beet3 tqq2
DEBATES	di1 beet3 thes1
DEBATING	di1 beet3 ting2
DEBATINGLY	di1 beet3 ting2 lii2
DEBAUCH	di1 b@@k3
DEBAUCHED	di1 b@@k3 kit1
DEBAUCHEDNESS	di1 b@@k3 kit1 nees1
DEBAUCHEE	di1 b@@k3 kii2
DEBAUCHEES	di1 b@@k3 kii2
DEBAUCHER	di1 b@@k3 chqq2
DEBAUCHERIES	di1 b@@k3 chqq0 ris2
DEBAUCHERY	di1 b@@k3 chqq0 rii2
DEBAUCHES	di1 b@@k3 ches1
DEBAUCHING	di1 b@@k3 ching2
DEBAUCHMENT	di1 b@@k3 men3
DEBBIE	dep3 bii2
DEBBY	dep3 bii2
DEBELL	di1 beel0
DEBELLA	di1 beel0 lqq2
DEBELLE	di1 beel0
DEBELLIS	di1 beel0 lis1
DEBELLO	di1 beel0 loo2
DEBELO	di1 beel0 loo2
DEBELTS	di1 beel3
DEBENDER	di1 ben0 dqq2
DEBENDRA	di1 ben0 draa2
DEBENEDICTIS	di1 ben0 nee0 dik1 tis1
DEBENHAM	di1 ben0 hxxm2
DEBENHAMS	di1 ben0 hxxm2
DEBENNY	di1 ben0 nii2
DEBENTURE	di1 ben0 chqq2
DEBENTURED	di1 ben0 chqq2 rit1
DEBENTURES	di1 ben0 chqq2
DEBES	di1 bes1
DEBEST	di1 bees3
DEBEVER	di1 be1 wqq2
DEBILE	di1 baaj0
DEBILIATING	di1 bi1 li3 eet3 ting2
DEBILIATION	di1 bi1 li3 ee0 chan0
DEBILIS	di1 bi1 lis3
DEBILITANT	di1 bi1 li3 then3
DEBILITAR	di1 bi1 li3 taa2
DEBILITATE	di1 bi1 li3 theet1
DEBILITATED	di1 bi1 li3 theet3 thet1
DEBILITATES	di1 bi1 li3 theet1
DEBILITATING	di1 bi1 li3 theet3 ting2
DEBILITATINGLY	di1 bi1 li3 theet3 ting2 lii2
DEBILITATION	di1 bi1 li3 thqq0 chan0
DEBILITATIONS	di1 bi1 li3 thqq0 chan0
DEBILITATIVE	di1 bi1 li3 thqq0 thiif1
DEBILITIES	di1 bi1 li3 tii2
DEBILITY	di1 bi1 li3 tii2
DEBIT	dee0 bit1
DEBITABLE	dee0 bit3 thee1 bql2
DEBITED	dee0 bit3 thet1
DEBITING	dee0 bit3 ting2
DEBITOR	dee0 bit3 tqq2
DEBITS	dee0 bit1
DEBITUM	dee0 bit1 tham2
DEBITUMINIZATION	dee0 bi1 thiw0 mi3 naj3 see0 chan0
DEBITUMINIZE	dee0 bi1 thiw0 mi3 naj3
DEBLANK	dee0 blxxng3
DEBLEY	dee0 blee2
DEBLICKER	dee0 bli3 khqq2
DEBLIN	dee0 blin2
DEBLING	dee0 bling2
DEBLINGER	dee0 bling0 kqq2
DEBLOCK	dee0 bl@k3
DEBLOCKED	dee0 bl@k3 kit1
DEBLOCKING	dee0 bl@k3 king2
DEBOLD	dee0 boo0
DEBOLE	dee0 bool0
DEBOLT	dee0 bool3
DEBOLTS	dee0 bool3
DEBONAIR	dee0 boo0 nxx0
DEBONAIRES	dee0 bqq0 nxx0 res1
DEBONAIRNESS	dee0 bqq0 nxx0 nees1
DEBONAIRS	dee0 bqq0 nxx0
DEBONE	dee0 b@@n0
DEBONED	dee0 b@@n0 nit1
DEBONER	dee0 b@@n0 nqq2
DEBONES	dee0 b@@n0 nees1
DEBONS	dee0 b@n0
DEBORAH	dep3 b@@0 raa2
DEBOUCH	di1 baaw3
DEBOUCHED	di1 baaw3 chit2
DEBOUCHES	di1 baaw3 ches1
DEBOUCHING	di1 baaw3 ching2
DEBOUCHMENT	di1 baaw3 men3
DEBRIEF	dii0 briif3 
DEBRIEFED	dii0 briif3 fet1
DEBRIEFER	dii0 briif3 fqq2
DEBRIEFERS	dii0 briif3 fqq2
DEBRIEFERS	dii0 briif3 fqs2
DEBRIEFING	dii0 briif3 fing2
DEBRIEFINGS	dii0 briif3 fing2
DEBRIEFS	dii0 briif3 
DEBRIS	dee0 bris3
DEBRON	dee0 br@@n0
DEBROSSE	dee0 br@@s3
DEBROSSES	dee0 br@@s3 ses1
DEBRUCE	dee0 bruus3
DEBRUIN	dee0 bruu0 in0
DEBRUISE	dee0 bruuj3
DEBRUISING	dee0 bruuj3 sing2
DEBRULE	dee0 bruul0
DEBRULER	dee0 bruul0 lqq2
DEBRUN	dee0 bran0
DEBRUNNER	dee0 bran0 nqq2
DEBS	dep3
DEBSES	dep3 ses1
DEBT	dep3
DEBTED	dep3 thet1
DEBTEE	dep3 tii2
DEBTHOLDER	dep3 thoo0 dqq2
DEBTHOLDERS	dep3 thoo0 dqq2
DEBTHOLDINGS	dep3 thoo0 ding2
DEBTLESS	dep3 les1
DEBTOR	dep3 tqq2
DEBTORS	dep3 tqq2
DEBTS	dep3
DEBUG	dii0 bak3
DEBUGGED	dii0 bak3 kit2
DEBUGGER	dii0 bak3 kqq2
DEBUGGERS	dii0 bak3 kqq2
DEBUGGING	dii0 bak3 king2
DEBUGS	dii0 bak3
DEBUNK	dii0 bang3
DEBUNKED	dii0 bang3 kit2
DEBUNKER	dii0 bang3 kqq2
DEBUNKERS	dii0 bang3 kqq2
DEBUNKING	dii0 bang3 king2
DEBUNKS	dii0 bang3
DEBUT	dee0 buu0
DEBUTANT	dee0 buu0 thaan3
DEBUTANTE	dee0 buu0 thaan3
DEBUTANTES	dee0 buu0 thaan3
DEBUTANTS	dee0 buu0 thaan3
DEBUTED	dee0 buu0 thet1
DEBUTING	dee0 buu0 thing2
DEBUTS	dee0 buu0
DEC	dek3
DECACHORD	dek3 khql0 kh@@t1
DECADE	dek3 kheet1
DECADENCE	dek3 khql0 den3
DECADENCY	dek3 khql0 den0 sii2
DECADENT	dek3 khql0 den3
DECADENTLY	dek3 khql0 den3 lii2
DECADENTS	dek3 khql0 den3
DECADES	dek3 kheet1
DECAGON	dek3 khql0 k@n3
DECAGONAL	dek3 khql0 k@n3 nql2
DECAGONS	dek3 khql0 k@n3
DECAGRAM	dek3 khql0 krxxm0
DECAGRAMME	dek3 khql0 krxxm0
DECALCIFICATION	dee0 kh@l0 si1 fi1 khee0 chan0
DECALCIFIED	dee0 kh@l0 si1 faaj0 et2
DECALCIFIER	dee0 kh@l0 si1 faaj0 qq2
DECALCIFIES	dee0 kh@l0 si1 faaj0
DECALCIFY	dee0 kh@l0 si1 faaj0
DECALCIFYING	dee0 kh@l0 si1 faaj0 ing2
DECALIN	dee0 kh@l0 lin2
DECALITER	dee0 kh@l0 li3 thqq2
DECALITERS	dee0 kh@l0 li3 thqq2
DECALITRE	dee0 kh@l0 li3 thrq2
DECALITRES	dee0 kh@l0 li3 thras2
DECALOGUE	dee0 kh@l0 l@k3
DECALOGUES	dee0 kh@l0 l@k3
DECALS	dee0 kh@l0
DECAMERAL	dii0 khxx0 mql0 r@l0
DECAMERON	dii0 khxx0 mql0 r@n2
DECAMEROUS	dii0 khxx0 mql0 rqqs2
DECAMETER	dii0 khxx0 miit3 thqq2
DECAMETERS	dii0 khxx0 miit3 tqq2
DECAMETRE	dii0 khxx0 miit3 thrq2
DECAMETRES	dii0 khxx0 miit3 thras2
DECAMILLIONAIRES	dii0 khxx0 mil0 liian2 nxx0
DECAMILLIS	dii0 khxx0 mil0 lis2
DECAMILLO	dii0 khxx0 mil0 loo2
DECAMP	dii0 khxxm3
DECAMPED	dii0 khxxm3 phet2
DECAMPING	dii0 khxxm3 ping2
DECAMPMENT	dii0 khxxm3 men3
DECAMPOS	dii0 khxxm3 p@s2
DECAMPS	dii0 khxxm3
DECANAL	dii0 khql0 nql2
DECANALLY	dii0 khql0 nql2 lii2
DECANE	dii0 kheen0
DECANI	dii0 khaa0 ni1
DECANNING	dii0 khxxn0 ning2
DECANNULATION	dii0 khxxn0 nuu0 lee0 chan0
DECANT	dii0 khxxn3
DECANTATE	dii0 khxxn0 theet1
DECANTATION	dii0 khxxn0 thqq0 chan0
DECANTATIONS	dii0 khxxn0 thqq0 chan0
DECANTED	dii0 khxxn0 thet1
DECANTEES	dii0 khxxn0 thii2
DECANTER	dii0 khxxn0 thqq2
DECANTERS	dii0 khxxn0 tqq2
DECANTING	dii0 khxxn0 thing2
DECANTIS	dii0 khxxn0 this2
DECANTS	dii0 khxxn0
DECAPITABLE	dii0 kxp3 phi1 thqq0 bel0
DECAPITALISED	dii0 kxp3 phi1 thqq0 laj3 sit2
DECAPITALIZATION	dii0 kxp3 phi1 thqq0 laj3 see0 chan0
DECAPITALIZE	dii0 kxp3 phi1 thql0 laj3
DECAPITALIZED	dii0 kxp3 phi1 thql0 laj3
DECAPITALIZING	dii0 kxp3 phi1 thql0 laj3 sing2
DECAPITATE	dii0 kxp3 phi1 theet1
DECAPITATED	dii0 kxp3 phi1 thqq0 thet1
DECAPITATES	dii0 kxp3 phi1 theet1
DECAPITATING	dii0 kxp3 phi1 thee3 ting2
DECAPITATION	dii0 kxp3 phi1 thqq0 chan0
DECAPITATIONS	dii0 kxp3 phi1 thqq0 chan0
DECAPITATOR	dii0 kxp3 phi1 thee3 tqq2
DECAPITATORS	dii0 kxp3 phi1 thee3 tqq2
DECAPOD	dee0 khql0 ph@@t1
DECAPODS	dee0 khql0 ph@@t1
DECAPRIO	dii0 kxp3 prii0 oo2
DECAPSULATE	dii0 kxp3 suu0 leet1
DECARBONATE	dii0 khaa0 b@@n0 neet1
DECARBONATED	dii0 khaa0 b@@n0 neet3 thet1
DECARBONATES	dii0 khaa0 b@@n0 neet1
DECARBONISE	dii0 khaa0 b@@n0 nis3
DECARBONISED	dii0 khaa0 b@@n0 naj3
DECARBONISER	dii0 khaa0 b@@n0 naj3 sqq2
DECARBONISERS	dii0 khaa0 b@@n0 naj3 sqqs2
DECARBONISES	dii0 khaa0 b@@n0 nis1 ses1
DECARBONISING	dii0 khaa0 b@@n0 naj3 sing2
DECARBONIZATION	dii0 khaa0 b@@n0 naj3 see0 chan0
DECARBONIZE	dii0 khaa0 b@@n0 naj3
DECARBONIZED	dii0 khaa0 b@@n0 naj3 sit1
DECARBONIZER	dii0 khaa0 b@@n0 naj3 sqq2
DECARBONIZES	dii0 khaa0 b@@n0 naj3 ses1
DECARBONIZING	dii0 khaa0 b@@n0 naj3 sing2
DECARBURISATION	dii0 khaa0 buu0 raj3 see0 chan0
DECARBURISE	dii0 khaa0 buu0 raj3
DECARBURIZATION	dii0 khaa0 buu0 raj3 see0 chan0
DECARBURIZE	dii0 khaa0 buu0 raj3
DECARES	dee0 khxx0
DECASPER	dee0 khxs3 pqq2
DECASTELLATE	dee0 khxs3 tel0 leet1
DECASTRO	dee0 khxs3 throo0
DECASYLLABIC	dee0 khqs3 sil0 lee0 bik1
DECASYLLABLE	dee0 khqs3 sil1 lee0 bql2
DECASYLLABLES	dee0 khqs3 sil1 lee0 bql2
DECATHLETE	dee0 khxt3 thql0 leet1
DECATHLETES	dee0 khxt3 thql0 leet1
DECATHLON	dee0 khxt3 thql0 lan2
DECATHLONS	dee0 khxt3 thql0 lan2
DECAY	dii0 khee0
DECAYABLE	dii0 khee0 ee0 bql2
DECAYED	dii0 khee0 it2
DECAYEDNESS	dii0 khee0 it2 nees1
DECAYER	dii0 khee0 jqq2
DECAYERS	dii0 khee0 jqq2
DECAYING	dii0 khee0 ing2
DECAYS	dii0 khees1
DECEASE	dii0 siis3
DECEASED	dii0 siis3 sit1
DECEASES	dii0 siis3 ses1
DECEASING	dii0 siis3 sing2
DECEDE	dii0 siit3
DECEDENS	dii0 seet2 dqn2
DECEDENT	dii0 seet2 den3
DECEDENTS	dii0 seet2 den3
DECEIPT	dii0 siip3
DECEIT	dii0 siit3
DECEITFUL	dii0 siit3 fuul0
DECEITFULLY	dii0 siit3 fuul0 lii2
DECEITFULNESS	dii0 siit3 fuul0 nees1
DECEITS	dii0 siit3
DECEIVABILITY	dii0 siif3 wql0 bi1 li1 tii2
DECEIVABLE	dii0 siif3 wql0 bql2
DECEIVABLENESS	dii0 siif3 wql0 bql2 nees1
DECEIVABLY	dii0 siif3 wql0 blii2
DECEIVE	dii0 siif3 
DECEIVED	dii0 siif3 
DECEIVER	dii0 siif3 wqq2
DECEIVERS	dii0 siif3 wqq2
DECEIVES	dii0 siif3 
DECEIVING	dii0 siif3 wing2
DECEIVINGLY	dii0 siif3 wing2 lii2
DECELERATE	dii0 seel0 loo0 reet1
DECELERATED	dii0 seel0 loo0 reet3 thet1
DECELERATES	dii0 seel0 loo0 reet1
DECELERATING	dii0 seel0 loo0 reet1 ting2
DECELERATION	dii0 seel0 loo0 reet1 chan0
DECELERATIONS	dii0 seel0 loo0 reet1 chan0
DECELERATOR	dii0 seel0 loo0 ree0 tqq2
DECELERATORS	dii0 seel0 loo0 ree0 tqq2
DECELL	dii0 kheel0
DECELLE	dii0 seel0
DECELLES	dii0 seel0
DECEMBER	dii0 seem0 bqq2
DECEMBERISH	dii0 seem0 bql0 rich3
DECEMBERLY	dii0 seem0 bql2 lii2
DECEMBERRATION	dii0 seem0 bql0 ree0 chan0
DECEMBERS	dii0 seem0 bqq2
DECEMBRE	dii0 seem0 brq2
DECEMVIR	dii0 seem0 wiia2
DECEMVIRATE	dii0 seem0 wi1 reet1
DECENCE	dii0 sqn2
DECENCIES	dii0 sqn2 ses1
DECENCY	dii0 sqn2 sii2
DECEND	dii0 sen2
DECENDANT	dii0 sen2 dan3
DECENDANTS	dii0 sen2 dan3
DECENDED	dii0 sen2 det1
DECENDING	dii0 sen2 ding2
DECENDS	dii0 sen2
DECENNIAD	dii0 sen2 neet1
DECENNIAL	dii0 sen2 niial0
DECENNIALS	dii0 sen2 niial0
DECENT	dii0 sqn2
DECENTER	dii0 sqn2 tqq2
DECENTERED	dii0 sqn2 tqq2 rit1
DECENTES	dii0 sqn2 tes1
DECENTEST	dii0 sqn2 thees3
DECENTLY	dii0 sqn2 thql2 lii2
DECENTNESS	dii0 sqn2 nees1
DECENTRALISATION	dii0 sen0 thrql0 laj3 see0 chan0
DECENTRALISATIONIST	dii0 sen0 thrql0 laj3 see0 chan0 nis3
DECENTRALISED	dii0 sen0 thrql0 laj3 sit2
DECENTRALISER	dii0 sen0 thrql0 laj3 sqq2
DECENTRALISES	dii0 sen0 thrql0 laj3 ses1
DECENTRALISING	dii0 sen0 thrql0 laj3 sing2
DECENTRALISM	dii0 sen0 thrql0 li3 svm2
DECENTRALIST	dii0 sen0 thrql0 lis3
DECENTRALIZATION	dii0 sen0 thrql0 laj3 see0 chan0
DECENTRALIZATIONIST	dii0 sen0 thrql0 laj3 see0 chan0 nis3
DECENTRALIZATIONS	dii0 sen0 thrql0 laj3 see0 chan0
DECENTRALIZE	dii0 sen0 thrql0 laj3
DECENTRALIZED	dii0 sen0 thrql0 laj3 sit2
DECENTRALIZER	dii0 sen0 thrql0 laj3 sqq2
DECENTRALIZES	dii0 sen0 thrql0 laj3 ses1
DECENTRALIZING	dii0 sen0 thrql0 laj3 sing2
DECENTRATION	dii0 sen0 three0 chan0
DECENTRE	dii0 sen0 thq2
DECENTRED	dii0 sen0 threet1
DECENTRICITY	dii0 sen0 thri1 si3 tii2
DECENTRING	dii0 sen0 thring2
DECENTRINGS	dii0 sen0 thring2
DECENTRISTS	dii0 sen0 thris1
DECEPTIBILITY	dii0 siip3 thi1 bi1 li3 tii2
DECEPTIBLE	dii0 siip3 thi1 bql2
DECEPTION	dii0 siip3 chan0
DECEPTIONAL	dii0 siip3 chan0 nxl0
DECEPTIONIST	dii0 siip3 chan0 nis3
DECEPTIONS	dii0 siip3 chan0
DECEPTIVE	dii0 siip3 thiif1
DECEPTIVELY	dii0 siip3 thiif1 lii2
DECEPTIVENESS	dii0 siip3 thiif1 nees1
DECEPTIVITY	dii0 siip3 thi1 wi3 tii2
DECEPTORS	dii0 siip3 tqs2
DECEPTS	dii0 siip3
