PA	phaa0
PALPITATING	phxxl0 phi1 theet3 ting2
PALPITATINGLY	phxxl0 phi1 theet3 ting2 lii2
PALPITATION	phxxl0 phi1 thee0 chan2
PALPITATIONS	phxxl0 phi1 thee0 chan2
PALPITI	phxxl0 phi1 tii2
PALPS	phxxp3
PALPUS	phxxl0 phqs3
PALS	ph@@l0
PALSGRAVE	ph@@l0 sa1 kreef3
PALSIED	ph@@l0 si1 et1
PALSIES	ph@@l0 si1 es1
PALSY	ph@@l0 sii2
PALSYING	ph@@l0 si1 ing2
PALTER	ph@@l0 thqq2
PALTERED	ph@@l0 thq1 rit1
PALTERER	ph@@l0 thq1 rqq2
PALTERING	ph@@l0 thq1 ring2
PALTERS	ph@@l0 thqq2
PALTIER	ph@@l0 thiia0
PALTRIER	ph@@l0 thri1 qq2
PALTRIEST	ph@@l0 thri1 es1
PALTRILY	ph@@l0 thril0 lii2
PALTRINESS	ph@@l0 thri1 nees1
PALTRY	ph@@l0 thrii2
PALTZ	ph@@l3
PALUMBO	ph@@l0 lam0 boo2
PALUMBOS	ph@@l0 lam0 b@s2
PALUMBUS	ph@@l0 lam0 bas3
PAM	phxxm2
PAMBER	phxxm0 bqq2
PAMBERG	phxxm0 bqqk1
PAMBIA	phxxm0 biia0
PAMBIES	phxxm0 bis3
PAMBOS	phxxm0 b@s2
PAMBY	phxxm0 bii2
PAMELA	phxxm0 meel0 laa2
PAMELAS	phxxm0 meel0 las3
PAMELINA	phxxm0 meel0 lii0 nqq2
PAMELLA	phxxm0 meel0 laa2
PAMELO	phxxm0 meel0 loo2
PAMELOR	phxxm0 meel0 lqq2
PAMER	phxxm0 mqq2
PAMOUR	phxxm0 muua0
PAMPA	phxxm0 phaa2
PAMPAS	phxxm0 phqs2
PAMPEAN	phxxm0 phiian2
PAMPEL	phxxm0 phql2
PAMPER	phxxm0 phqq2
PAMPERD	phxxm0 phqqt1
PAMPERED	phxxm0 phq1 rit1
PAMPEREDLY	phxxm0 phq1 rit3 lii2
PAMPERER	phxxm0 phq1 rqq2
PAMPERERS	phxxm0 phq1 rqq2
PAMPERING	phxxm0 phq1 ring2
PAMPERINGS	phxxm0 phq1 ring2
PAMPERISES	phxxm0 phq1 ris3 ses1
PAMPERIZE	phxxm0 phq1 raj3
PAMPERIZES	phxxm0 phq1 raj3 ses1
PAMPERS	phxxm0 phqq2
PAMPHLET	phxxm0 flqt1
PAMPHLETEER	phxxm0 flqt3 thiia0
PAMPHLETEERING	phxxm0 flqt3 thiia0 ring2
PAMPHLETEERS	phxxm0 flqt3 thiias2
PAMPHLETS	phxxm0 flqt1
PAMPHLETT	phxxm0 flet1
PAMPHYLIAN	phxxm0 fii0 liian2
PAMPLET	phxxm0 phlet1
PAMPLIN	phxxm0 phlin2
PAMPLONA	phxxm0 phloo0 naa2
PAMPOS	phxxm0 ph@s2
PAMPRE	phxxm0 phree2
PAMPREEN	phxxm0 phriin0
PAMPUS	phxxm0 phqs3
PAN	phxxn0
PANACE	phxxn0 nees1
PANACEA	phxxn0 nees3 siia0
PANACEAS	phxxn0 nees3 siias2
PANACHE	phxxn0 nxxch3
PANACHED	phxxn0 nxxch3 chit1
PANACHES	phxxn0 nxxch3 ches1
PANALES	phxxn0 neel0 lis1
PANALISTS	phxxn0 neel0 lis3
PANAMA	phxxn0 nq1 maa0
PANAMAN	phxxn0 nq1 mxxn0
PANAMANIA	phxxn0 aa0 mee0 niia0
PANAMANIAN	phxxn0 aa0 mee0 niian2
PANAMANIANS	phxxn0 aa0 mee0 niian2
PANAMAS	phxxn0 nq1 mas3
PANAMERICA	phxxn0 q1 mee0 ri1 kaa0
PANAMERICAN	phxxn0 q1 mee0 ri1 kan0
PANAMERICANA	phxxn0 q1 mee0 ri1 kaa0 naa2
PANAMERICANISM	phxxn0 q1 mee0 ri1 kan0 nis3 svm2
PANAMERICANOS	phxxn0 q1 mee0 ri1 kan0 n@s2
PANAMETRIC	phxxn0 q1 met3 thrik1
PANAMETRICS	phxxn0 q1 met3 thrik1
PANAMINT	phxxn0 nq1 min3
PANAMIST	phxxn0 nq1 mis3
PANARCHY	phxxn0 naat3 chii2
PANAROMA	phxxn0 q1 roo0 maa2
PANATELLA	phxxn0 q1 theel0 laa2
PANATELLAS	phxxn0 q1 theel0 laas2
PANCAKE	phxxn0 kheek3
PANCAKED	phxxn0 kheek3 kit1
PANCAKES	phxxn0 kheek3
PANCAKING	phxxn0 kheek3 king2
PANCANADIAN	phxxn0 khxxn0 nee0 diian2
PANCHANG	phxxn0 chaang2
PANCHION	phxxn0 chiian2
PANCHROMATIC	phxxn0 khroo0 maa0 tik1
PANCHU	phxxn0 chuu0
PANCOAST	phxxn0 khoos3
PANCONTINENTAL	phxxn0 kh@@n0 thi1 neen0 th@l2
PANCRATIC	phxxn0 khrxx0 tik1
PANCRATICAL	phxxn0 khrxt3 thi1 kh@l2
PANCRATICALLY	phxxn0 khrxt3 thi1 kh@l2 lii2
PANCREAS	phxxn0 khriias2
PANCREASE	phxxn0 khrii2
PANCREASES	phxxn0 khriis3 ses1
PANCREATIC	phxxn0 khrii0 ee0 tik1
PANCREATIN	phxxn0 khrii0 ee0 tin0
PANCRETIC	phxxn0 khrii0 ee0 tik1
PANDA	phxxn0 daa2
PANDAIR	phxxn0 dxx0
PANDAL	phxxn0 dql2
PANDAMAN	phxxn0 dq1 mxxn0
PANDAN	phxxn0 dqn2
PANDANS	phxxn0 dqn2
PANDAR	phxxn0 dqq0 rqq2
PANDAS	phxxn0 das2
PANDATA	phxxn0 daa0 taa2
PANDATION	phxxn0 dee0 chan2
PANDAU	phxxn0 doo0
PANDAY	phxxn0 dee0
PANDEAN	phxxn0 diian2
PANDECT	phxxn0 dek1
PANDECTA	phxxn0 dek3 taa2
PANDECTS	phxxn0 dek1
PANDEL	phxxn0 dql2
PANDELI	phxxn0 deel0 lii2
PANDELIS	phxxn0 deel0 lis2
PANDELL	phxxn0 deel0
PANDELLI	phxxn0 deel0 lii2
PANDEMIC	phxxn0 dee0 mik1
PANDEMICS	phxxn0 dee0 mik1
PANDEMONIAC	phxxn0 dee0 moo0 ni1 xk1
PANDEMONIAN	phxxn0 dee0 moo0 niian2
PANDEMONIC	phxxn0 dee0 moo0 nik1
PANDEMONIOUS	phxxn0 dee0 moo0 niias3
PANDEMONIUM	phxxn0 dee0 moo0 niiam2
PANDEMONIUMS	phxxn0 dee0 moo0 niiam2
PANDER	phxxn0 dqq2
PANDERAGE	phxxn0 dq1 reec1
PANDERED	phxxn0 dqq0 rit1
PANDERER	phxxn0 dqq0 rqq2
PANDERERS	phxxn0 dqq0 rqq2
PANDERESS	phxxn0 dqq0 rees3
PANDERING	phxxn0 dqq0 ring2
PANDERISM	phxxn0 dqq0 ris3 svm2
PANDERIZE	phxxn0 dqq0 raj3
PANDERIZES	phxxn0 dqq0 raj3 ses1
PANDERLY	phxxn0 dqq0 lii2
PANDERMA	phxxn0 dqq0 maa2
PANDERMAN	phxxn0 dqq0 mxxn0
PANDEROUS	phxxn0 dqq0 ras3
PANDERS	phxxn0 dqq2
PANDERSHIP	phxxn0 dqq0 chip3
PANDEY	phxxn0 dii2
PANDICK	phxxn0 dik1
PANDIED	phxxn0 det1
PANDIES	phxxn0 dii2
PANDIS	phxxn0 dis1
PANDISC	phxxn0 dis3
PANDIT	phxxn0 det1
PANDITS	phxxn0 det1
PANDLE	phxxn0 dql2
PANDO	phxxn0 doo2
PANDOR	phxxn0 dqq2
PANDORA	phxxn0 doo0 raa2
PANDORAS	phxxn0 doo0 rqqs2
PANDOUR	phxxn0 duua0
PANDOWDIES	phxxn0 daaw0 dii2
PANDOWDY	phxxn0 daaw0 dii2
PANDRO	phxxn0 droo2
PANDROP	phxxn0 dr@p1
PANE	pheen0
PANED	pheen0 nit1
PANEED	pheen0 niit1
PANEGYRIC	phxxn0 ni3 cee0 rik1
PANEGYRICAL	phxxn0 ni3 cee0 rik1 kh@l2
PANEGYRICALLY	phxxn0 ni3 cee0 rik1 kh@12 lii2
PANEGYRICIZE	phxxn0 ni3 cee0 rik1 saj3
PANEGYRICS	phxxn0 ni3 cee0 rik1
PANEGYRIST	phxxn0 ni3 cee0 ris3
PANEGYRISTS	phxxn0 ni3 cee0 ris3
PANEGYRIZE	phxxn0 ni3 cee0 raj3
PANEGYRIZED	phxxn0 ni3 cee0 raj3 sit1
PANEGYRIZER	phxxn0 ni3 cee0 raj3 sqq2
PANEGYRIZES	phxxn0 ni3 cee0 raj3 ses1
PANEGYRIZING	phxxn0 ni3 cee0 raj3 sing2
PANEL	phxxn0 nql2
PANELED	phxxn0 nql2 lit1
PANELES	phxxn0 nql2 les1
PANELING	phxxn0 nql2 ling2
PANELINGS	phxxn0 nql2 ling2
PANELIST	phxxn0 nql2 lis3
PANELISTS	phxxn0 nql2 lis3
PANELLA	phxxn0 neel0 laa2
PANELLED	phxxn0 neel0 lit1
PANELLING	phxxn0 neel0 ling2
PANELLINGS	phxxn0 neel0 ling2
PANELLIST	phxxn0 neel0 lis3
PANELLISTS	phxxn0 neel0 lis3
PANELS	phxxn0 neel2
PANELY	phxxn0 neel0 lii2
PANES	pheen0
PANFIELD	phxxn0 fiil0
PANFILE	phxxn0 faaj0
PANFINANCIAL	phxxn0 faaj0 nxxn0 chiial2
PANFUL	phxxn0 fuul0
PANFULS	phxxn0 fuul0
PANG	phxxng0
PANGA	phxxng0 kaa2
PANGAED	phxxng0 kaa0 it1
PANGANIC	phxxng0 kaa0 nik1
PANGAS	phxxng0 kas3
PANGBORN	phxxng0 b@@n0
PANGBOURNE	phxxng0 bqqn0
PANGBURN	phxxng0 bqqn0
PANGED	phxxng0 kit1
PANGELS	phxxng0 ceel2
PANGING	phxxng0 king2
PANGLE	phxxng0 kql2
PANGS	phxxng0
PANHANDEL	phxxn0 hxxn0 dql2
PANHANDLE	phxxn0 hxxn0 dql2
PANHANDLED	phxxn0 hxxn0 dql2 lit1
PANHANDLER	phxxn0 hxxn0 dq1 lqq2
PANHANDLERS	phxxn0 hxxn0 dq1 lqq2
PANHANDLES	phxxn0 hxxn0 dql2
PANHANDLING	phxxn0 hxxn0 dq1 ling2
PANHARD	phxxn0 haat3
PANHARMONIC	phxxn0 haa0 moo0 nik1
PANHARMONICON	phxxn0 haa0 moo0 ni1 kh@n2
PANIC	phxxn0 nik1
PANICAL	phxxn0 ni1 kh@l2
PANICALLY	phxxn0 ni1 kh@10 lii2
PANICH	phxxn0 nich3
PANICK	phxxn0 nik3
PANICKED	phxxn0 nik3 kit1
PANICKER	phxxn0 nik3 kqq2
PANICKERS	phxxn0 nik3 kqq2
PANICKIER	phxxn0 nik3 kiia0
PANICKIEST	phxxn0 nik3 ki1 es1
PANICKING	phxxn0 nik3 king2
PANICKY	phxxn0 nik3 kii2
PANICLE	phxxn0 ni1 khql2
PANICLED	phxxn0 ni1 khql2
PANICLES	phxxn0 ni1 khql2
PANICO	phxxn0 ni1 koo2
PANICOS	phxxn0 ni1 kh@s2
PANICS	phxxn0 nik1
PANICULAR	phxxn0 ni3 khiw0 laa2
PANICULATE	phxxn0 ni3 khiw0 leet1
PANICULATED	phxxn0 ni3 khiw0 leet3 thet1
PANICULATELY	phxxn0 ni3 khiw0 leet3 lii2
PANICULATUS	phxxn0 ni3 khiw0 lee0 tqq2
PANICULITIS	phxxn0 ni3 khiw0 li1 tii2
PANIFICATION	phxxn0 ni3 fi1 khee0 chan2
PANIK	phxxn0 nik1
PANIKIN	phxxn0 ni1 kin2
PANIMA	phxxn0 ni1 maa2
PANISH	phxxn0 nich3
PANISHER	phxxn0 nich3 chqq2
PANITZ	phxxn0 nit3
PANJAB	phxxn0 cxxp2
PANJANDRA	phxxn0 can0 draa0
PANJANDRUM	phxxn0 can0 dram2
PANJANDRUMS	phxxn0 can0 dram2
PANKEY	phxxn0 kii2
PANKIN	phxxn0 kin2
PANMAN	phxxn0 mxxn0
PANNAGE	phxxn0 neec1
PANNED	phxxn0 nit1
PANNELL	phxxn0 neel0
PANNELLS	phxxn0 neel0
PANNER	phxxn0 nqq2
PANNERS	phxxn0 nqqs1
PANNERY	phxxn0 nqq0 rii2
PANNIER	phxxn0 niia0
PANNIERED	phxxn0 niia0 rit1
PANNIERS	phxxn0 niias2
PANNIKIN	phxxn0 ni1 kin2
PANNIKINS	phxxn0 ni1 kin2
PANNING	phxxn0 ning2
PANNISH	phxxn0 nich3
PANNONE	phxxn0 n@@n0
PANNONIAN	phxxn0 n@@n0 niian2
PANNONIANS	phxxn0 n@@n0 niian2
PANNOS	phxxn0 n@s2
PANOPLIED	phxxn0 nq1 plii0 it1
PANOPLIES	phxxn0 nq1 plii2
PANOPLY	phxxn0 nq1 plii2
PANOPTIC	phxxn0 @p3 tik1
PANOPTICAL	phxxn0 @p3 tik1 kh@l2
PANOPTICISM	phxxn0 @p3 tik1 sis3 svm2
PANOPTICON	phxxn0 @p3 tik1 kh@n2
PANORAM	phaa0 noo0 rxxm2
PANORAMA	phaa0 noo0 raa0 maa2
PANORAMAS	phaa0 noo0 raa0 mas3
PANORAMIC	phaa0 noo0 raa0 mik1
PANORAMICAL	phaa0 noo0 raa0 mik1 kh@@l2
PANORAMICALLY	phaa0 noo0 raa0 mik1 kh@@l2 lii2
PANORAMICS	phaa0 noo0 raa0 mik1
PANPIPE	phxxn0 paaj3
PANPIPES	phxxn0 paaj3 phis1
PANS	phxxn0
PANSES	phxxn0 ses1
PANSIES	phxxn0 sii2
PANSION	phxxn0 chan2
PANSKY	phxxn0 sa1 kaaj0
PANSMITH	phxxn0 sa1 mit3
PANSOPHIES	phxxn0 soo0 fii2
PANSY	phxxn0 sii2
PANSYING	phxxn0 sii2 ing2
PANT	phxxn3
PANTAGRAPH	phxxn0 thq1 kraaf3
PANTAGRAPHIC	phxxn0 thq1 kraaf3 fik1
PANTAGRAPHICAL	phxxn0 thq1 kraaf3 fi1 kh@@l2
PANTALL	phxxn0 th@@l0
PANTALONE	phxxn0 thq1 loon0
PANTALOON	phxxn0 thq1 luun0
PANTALOONED	phxxn0 thq1 luun0 nit1
PANTALOONS	phxxn0 thq1 luun0
PANTAR	phxxn0 thaa2
PANTAS	phxxn0 tqq2
PANTASMA	phxxn0 thqs2 maa2
PANTASTIC	phxxn0 thqs2 tik1
PANTASTICS	phxxn0 thqs2 tik3
PANTECHNIC	phxxn0 thek3 nik1
PANTECHNICON	phxxn0 thek3 ni1 kh@n2
PANTECHNICONS	phxxn0 thek3 ni1 kh@n2
PANTED	phxxn3 thet1
PANTEL	phxxn0 theel0
PANTELEGRAPH	phxxn0 thee0 lee0 kraaf3
PANTELEOLOGISM	phxxn0 thee0 lee0 oo0 loo0 cis3 svm2
PANTELEPHONE	phxxn0 thee0 lee0 foon0
PANTELEPHONIC	phxxn0 thee0 lee0 foon0 nik1
PANTELIC	phxxn0 theel0 lik1
PANTELL	phxxn0 theel0
PANTELLO	phxxn0 theel0 loo2
PANTEN	phxxn0 then2
PANTER	phxxn0 thqq2
PANTERA	phxxn0 thee0 raa2
PANTERAS	phxxn0 thee0 ras3
PANTERER	phxxn0 thee0 rqq2
PANTERRA	phxxn0 thee0 raa2
PANTES	phxxn0 thes1
PANTET	phxxn0 thet1
PANTEX	phxxn0 thek1
PANTHA	phxxn0 thaa2
PANTHEA	phxxn0 thiia0
PANTHEISM	phxxn0 thi1 is3 svm2
PANTHEIST	phxxn0 thi1 es3
PANTHEISTIC	phxxn0 thi1 es3 tik1
PANTHEISTICAL	phxxn0 thi1 es3 ti1 kh@@l2
PANTHEISTICALLY	phxxn0 thi1 es3 ti1 kh@@12 lii2
PANTHEISTS	phxxn0 thi1 es3
PANTHEON	phxxn0 thi1 @@n2
PANTHEONS	phxxn0 thi1 @@n2
PANTHER	phxxn0 thqq2
PANTHERS	phxxn0 thqq2
PANTHRAX	phxxn0 thrxk1
PANTHUS	phxxn0 thqs3
PANTIC	phxxn0 tik1
PANTIE	phxxn0 thii2
PANTIED	phxxn0 thi1 it1
PANTIES	phxxn0 thii2
PANTILE	phxxn0 thaaj0
PANTILED	phxxn0 thaaj0 lit1
PANTILES	phxxn0 thaaj0 les1
PANTILING	phxxn0 thaaj0 ling2
PANTILLA	phxxn0 thiil0 laa2
PANTIN	phxxn0 thin0
PANTING	phxxn0 ting2
PANTINGLY	phxxn0 ting2 lii2
PANTINGS	phxxn0 ting2
PANTINS	phxxn0 thin0
PANTISOCRACIES	phxxn0 tis3 soo0 khree0 sii2
PANTISOCRACY	phxxn0 tis3 soo0 khree0 sii2
PANTLE	phxxn0 thql2
PANTLER	phxxn0 thq1 lqq2
PANTLESS	phxxn0 thq1 les1
PANTLING	phxxn0 thq1 ling2
PANTO	phxxn0 too2
PANTOD	phxxn0 th@t1
PANTOGRAPH	phxxn0 thoo0 kraaf3
PANTOGRAPHIC	phxxn0 thoo0 kraaf3 fik1
PANTOGRAPHICAL	phxxn0 thoo0 kraaf3 fi1 kh@@l2
PANTOGRAPHICALLY	phxxn0 thoo0 kraaf3 fi1 kh@@l2 lii2
PANTOGRAPHS	phxxn0 thoo0 kraaf3
PANTOLOGIC	phxxn0 thoo0 loo0 cik1
PANTOLOGICAL	phxxn0 thoo0 loo0 cik1 kh@@l2
PANTOLOGIST	phxxn0 thoo0 loo0 cis3
PANTOLOGY	phxxn0 thoo0 loo0 cii2
PANTOMIME	phxxn0 thq1 maaj0
PANTOMIMED	phxxn0 thq1 maaj0 mit1
PANTOMIMES	phxxn0 thq1 maaj0 mes1
PANTOMIMIC	phxxn0 thq1 mii0 mik1
PANTOMIMICAL	phxxn0 thq1 mii0 mi1 kh@@l2
PANTOMIMICALLY	phxxn0 thq1 mii0 mi1 kh@@l2 lii2
PANTOMIMICRY	phxxn0 thq1 mii0 mi1 khraaj0
PANTOMIMING	phxxn0 thq1 mii0 ming2
PANTOMIMIST	phxxn0 thq1 mii0 mis3
PANTOMIMISTS	phxxn0 thq1 mii0 mis3
PANTOMINE	phxxn0 thq1 maaj0
PANTOMINED	phxxn0 thq1 maaj0 nit1
PANTOMINES	phxxn0 thq1 maaj0 nees1
PANTON	phxxn0 tan2
PANTOR	phxxn0 thqq2
PANTOS	phxxn0 th@s2
PANTRAC	phxxn0 thrxk1
PANTRIDGE	phxxn0 thric1
PANTRIES	phxxn0 thris1
PANTRON	phxxn0 thr@@n2
PANTROPIC	phxxn0 throo0 pik1
PANTROPICAL	phxxn0 throo0 pi1 kh@@l2
PANTRY	phxxn0 thrii2
PANTRYMAN	phxxn0 thrii2 mxxn0
PANTRYMEN	phxxn0 thrii2 men0
PANTRYWOMAN	phxxn0 thrii2 wuu3 mqn2
PANTS	phxxn3
PANTSED	phxxn3 sit1
PANTSING	phxxn3 sing2
PANTSUIT	phxxn3 suut1
PANTSUITS	phxxn3 suut1
PANTULA	phxxn3 thuu0 laa2
PANTY	phxxn3 tii2
PANTYHOSE	phxxn3 tii2 h@@s3
PANTYHOSED	phxxn3 tii2 h@@s3 sit1
PANTYWAIST	phxxn3 tii2 wees3
PANTYWAISTS	phxxn3 tii2 wees3
PANZER	phxxn0 sqq2
PANZERS	phxxn0 sqqs1
PAOLO	phaaw0 loo0
PAOTOW	phaaw0 too2
PAP	phxp3
PAPA	phaa0 phaa2
PAPABILITY	phxp3 phq1 bi1 li3 tii2
PAPABLE	phxp3 phee0 bql2
PAPACIES	phee0 phq1 sii2
PAPACY	phee0 phq1 sii2
PAPAGEORGE	phaa0 phaa2 c@@c3
PAPAGEORGES	phaa0 phaa2 c@@c3 ces1
PAPAGO	phxp3 phq1 koo2
PAPAINS	phee0 pheen0
PAPAL	phee0 phal2
PAPALE	phee0 pheel0
PAPALEO	phee0 pheel0 lii0 oo2
PAPALEOS	phee0 pheel0 lii0 oos2
PAPALIA	phee0 phq1 liia0
PAPALISES	phee0 phq1 lis3 ses1
PAPALISM	phee0 phq1 lis3 svm2
PAPALIST	phee0 phq1 lis3
PAPALISTIC	phee0 phq1 lis3 tik1
PAPALISTS	phee0 phq1 lis3
PAPALIZATION	phee0 phq1 laj3 see0 chan2
PAPALIZE	phee0 phq1 laj3
PAPALIZER	phee0 phq1 laj3 sqq2
PAPALIZERS	phee0 phq1 laj3 sqqs1
PAPALIZES	phee0 phq1 laj3 ses1
PAPALLY	phee0 ph@l2 lii2
PAPANDREW	phee0 phxxn0 druu0
PAPART	phq1 phaat3
PAPAS	phq1 phas3
PAPAVER	phq1 phee0 wqq2
PAPAVERINE	phq1 phee0 wqq0 riin0
PAPAVERIS	phq1 phee0 wqq0 ris1
PAPAVEROUS	phq1 phee0 wqq0 rqqs2
PAPAW	phq1 ph@@0
PAPAWS	phq1 ph@@s2
PAPAYA	phq1 phaa0 jaa2
PAPAYAS	phq1 phaa0 jaas2
PAPER	phee0 phqq2
PAPERBACK	phee0 phqq2 bxk3
PAPERBACKED	phee0 phqq2 bxk3 khit1
PAPERBACKERS	phee0 phqq0 bxk3 kqq2
PAPERBACKS	phee0 phqq0 bxk3
PAPERBOARD	phee0 phqq0 b@@t1
PAPERBOARDS	phee0 phqq0 b@@t1
PAPERBOY	phee0 phqq0 b@@j0
PAPERBOYS	phee0 phqq0 b@@j0
PAPERCLIP	phee0 phqq2 khlip3
PAPERCLIPPED	phee0 phqq2 khlip3 phit1
PAPERCLIPS	phee0 phqq2 khlip3
PAPERCUT	phee0 phqq2 khat3
PAPERCUTTING	phee0 phqq2 khat3 ting2
PAPERED	phee0 phqq2 rit1
PAPERER	phee0 phqq2 rqq2
PAPERERS	phee0 phqq2 rqq2
PAPERHANGER	phee0 phqq2 hxxng0 kqq2
PAPERHANGERS	phee0 phqq2 hxxng0 kqq2
PAPERHANGING	phee0 phqq2 hxxng0 king2
PAPERIN	phee0 phqq2 rin0
PAPERINESS	phee0 phqq2 ri3 nees1
PAPERING	phee0 phqq2 ring2
PAPERINGS	phee0 phqq2 ring2
PAPERISH	phee0 phqq2 rich3
PAPERITES	phee0 phqq2 raj3
PAPERKNIFE	phee0 phqq2 naj3
PAPERKNIVES	phee0 phqq2 naj3
PAPERLESS	phee0 phqq2 les1
PAPERMAKER	phee0 phqq2 meek3 kqq2
PAPERMAKERS	phee0 phqq2 meek3 kqq2
PAPERMAKING	phee0 phqq2 meek3 king2
PAPERMAN	phee0 phqq2 mxxn0
PAPERMATE	phee0 phqq2 meet1
PAPERMATES	phee0 phqq2 meet1 thes1
PAPERMILL	phee0 phqq2 miil0
PAPERMILLS	phee0 phqq2 miil0
PAPERMILS	phee0 phqq2 miil0
PAPERS	phee0 phqq2
PAPERWARE	phee0 phqq2 wxx0
PAPERWEIGHT	phee0 phqq2 weet1
PAPERWEIGHTS	phee0 phqq2 weet1
PAPERWORK	phee0 phqq2 wqqk3
PAPERWORKED	phee0 phqq2 wqqk3 khit1
PAPERWORKER	phee0 phqq2 wqqk3 kqq2
PAPERWORKERS	phee0 phqq2 wqqk3 kqq2
PAPERWORKS	phee0 phqq2 wqqk3
PAPERY	phee0 phqq0 rii2
PAPHLAGONIA	phxp3 phq1 laa0 koo0 niia0
PAPHLAGONIAN	phxp3 phq1 laa0 koo0 niian2
PAPHLAGONIANS	phxp3 phq1 laa0 koo0 niian2
PAPILLA	phq1 phil0 laa2
PAPILLAE	phq1 phil0 lqq2
PAPILLAR	phq1 phil0 laa2
PAPILLARY	phq1 phil0 laa0 rii2
PAPILLAS	phq1 phil0 lqs2
PAPILLION	phq1 phil0 liian2
PAPIN	phq1 phin0
PAPINEAU	phq1 phin0 noo2
PAPINES	phq1 phin0 nees1
PAPINOFF	phq1 phin0 n@@f3
PAPISH	phxp3 phich3
PAPISM	phxp3 phis3 svm2
PAPIST	phxp3 phis1
PAPISTIC	phxp3 phis3 tik1
PAPISTICAL	phxp3 phis3 tik1 kh@@l2
PAPISTICALLY	phxp3 phis3 tik1 kh@@l2 lii2
PAPISTRIES	phxp3 phis3 thrii2
PAPISTRY	phxp3 phis3 thrii2
PAPISTS	phxp3 phis3
PAPOOSE	phq1 phoos3
PAPOOSES	phq1 phoos3 ses1
PAPPAN	phxp3 phqn2
PAPPAS	phxp3 phas2
PAPPER	phxp3 phqq2
PAPPERT	phxp3 phqt1
PAPPIES	phxp3 phii2
PAPPUS	phxp3 phas3
PAPRICA	phaa0 pri1 kaa2
PAPRICAN	phaa0 pri1 kan2
PAPRIKA	phaa0 pri1 kaa2
PAPRIKAS	phaa0 pri1 kas3
PAPSON	phxp3 san2
PAPUA	phaa0 puua0
PAPUAN	phaa0 puuan0
PAPUANS	phaa0 puuan0
PAPUAS	phaa0 puuas2
PAPULA	phxp3 piw0 laa2
PAPULAR	phxp3 piw0 laa2
PAPULATE	phxp3 piw0 leet1
PAPULATED	phxp3 piw0 leet3 thet1
PAPULATION	phxp3 piw0 lee0 chan2
PAPULOSE	phxp3 piw0 loos2
PAPULOUS	phxp3 piw0 las2
PAPYREAN	phq1 phaaj0 riian2
PAPYRI	phq1 phaaj0 rii2
PAPYROGRAPH	phq1 phaaj0 r@@0 kraaf3
PAPYROGRAPHIC	phq1 phaaj0 r@@0 kraaf3 fik1
PAPYRUS	phq1 phaaj0 rqqs2
PAPYRUSES	phq1 phaaj0 ras3 ses1
PAR	phaa2
PARA	phaa0 raa0
PARABANK	phaa0 raa0 bxxng3
PARABASES	phaa0 raa0 bees1 ses1
PARABASIS	phaa0 raa0 bee0 sis1
PARABLE	phxx0 ree0 bql2
PARABLES	phxx0 ree0 bql2
PARABOLA	phaa0 raa0 boo0 laa2
PARABOLAS	phaa0 raa0 boo0 las2
PARABOLIC	phaa0 raa0 boo0 lik1
PARABOLICA	phaa0 raa0 boo0 li1 khaa2
PARABOLICAL	phaa0 raa0 boo0 li1 kh@@l2
PARABOLICALISM	phaa0 raa0 boo0 li1 kh@@l0 lis3 svm2
PARABOLICALLY	phaa0 raa0 boo0 li1 kh@l2 lii2
PARABOLIN	phaa0 raa0 boo0 lin2
PARABOLOID	phaa0 raa0 boo0 l@@j0
PARABOLOIDAL	phaa0 raa0 boo0 l@@j0 dql2
PARABOLOIDS	phaa0 raa0 boo0 l@@j0
PARACHUTE	phaa0 raa0 chuut3
PARACHUTED	phaa0 raa0 chuut3 thet1
PARACHUTER	phaa0 raa0 chuut3 tqq2
PARACHUTERS	phaa0 raa0 chuut3 tqq2
PARACHUTES	phaa0 raa0 chuut3 thes1
PARACHUTING	phaa0 raa0 chuut3 ting2
PARACHUTIST	phaa0 raa0 chuut3 this3
PARACHUTISTES	phaa0 raa0 chuut3 this3 thes1
PARACHUTISTS	phaa0 raa0 chuut3 this3
PARADA	phaa0 rq1 daa2
PARADAS	phaa0 rq1 das2
PARADE	phaa0 reet1
PARADED	phaa0 reet3 det1
PARADER	phaa0 reet3 dqq2
PARADERS	phaa0 reet3 dqq2
PARADES	phaa0 reet3 des1
PARADIDDLE	phaa0 raa0 dit1 dql2
PARADIDDLES	phaa0 raa0 dit1 dql2
PARADIGM	phaa0 raa0 daam0
PARADIGMA	phaa0 raa0 dik3 maa2
PARADIGMATIC	phaa0 raa0 dik3 mxx0 tik1
PARADIGMATICAL	phaa0 raa0 dik3 mxx0 tik1 kh@@l2
PARADIGMATICALLY	phaa0 raa0 dik3 mxx0 tik1 kh@l2 lii2
PARADIGMATIZE	phaa0 raa0 dik3 mxx0 thaj3
PARADIGMS	phaa0 raa0 daam0
PARADING	phaa0 reet3 ding2
PARADINGLY	phaa0 reet3 ding0 lii2
PARADISE	phxx0 rq1 daaj3
PARADISES	phxx0 rq1 daaj3 ses1
PARADISIAC	phxx0 rq1 daaj0 si1 xk1
PARADISIACAL	phxx0 rq1 daaj0 si1 q1 kh@@l2
PARADISIACALLY	phxx0 rq1 daaj0 si1 q1 kh@l2 lii2
PARADISIAN	phxx0 rq1 daaj0 siian2
